#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
1000,4.000000000000003,-2108562.531058684,7936.3984375,-2100626.132621184,7.178261557702849,1427.6995979899589,0.9244402030767608,0
2000,7.999999999999562,-2107134.759574309,13588.625,-2093546.134574309,12.290550333088651,1427.6995979899589,0.9244402030767608,555
3000,11.999999999999122,-2103315.077933684,20061.4296875,-2083253.648246184,18.145030224024705,1427.6995979899589,0.9244402030767608,521
4000,15.999999999998682,-2099401.704886809,26681.14453125,-2072720.560355559,24.132386448646653,1427.6995979899589,0.9244402030767608,530
5000,20.000000000000018,-2095709.538871184,33518.96484375,-2062190.574027434,30.317013275819914,1427.6995979899589,0.9244402030767608,522
6000,24.000000000001354,-2091889.456839934,40272.07421875,-2051617.382621184,36.42502131035544,1427.6995979899589,0.9244402030767608,524
7000,28.00000000000269,-2087996.075980559,46758.17578125,-2041237.900199309,42.291527871499866,1427.6995979899589,0.9244402030767608,525
8000,32.00000000000402,-2084018.523246184,53448.38671875,-2030570.136527434,48.34264594020247,1427.6995979899589,0.9244402030767608,520
9000,36.000000000001805,-2079820.882621184,60243.3984375,-2019577.484183684,54.48855353153155,1427.6995979899589,0.9244402030767608,521
10000,39.99999999999959,-2076112.542777434,66907.8125,-2009204.730277434,60.516339012086064,1427.6995979899589,0.9244402030767608,516
11000,43.99999999999737,-2071866.929496184,73023.46875,-1998843.460746184,66.04778762888822,1427.6995979899589,0.9244402030767608,517
12000,47.999999999995154,-2067310.540824309,79758.28125,-1987552.259574309,72.1392466260395,1427.6995979899589,0.9244402030767608,518
13000,51.99999999999294,-2062389.925589934,86422.84375,-1975967.081839934,78.16716636436954,1427.6995979899589,0.9244402030767608,513
14000,55.99999999999072,-2057701.189261809,93184.4140625,-1964516.775199309,84.28282709211051,1427.6995979899589,0.9244402030767608,513
15000,59.9999999999885,-2052923.232230559,99802.921875,-1953120.310355559,90.2690915890314,1427.6995979899589,0.9244402030767608,510
16000,63.99999999998629,-2048981.077933684,106757.515625,-1942223.562308684,96.55933688835778,1427.6995979899589,0.9244402030767608,510
17000,67.99999999999118,-2043850.454886809,113424.984375,-1930425.470511809,102.5898852526088,1427.6995979899589,0.9244402030767608,510
18000,71.99999999999606,-2037710.009574309,119401.28125,-1918308.728324309,107.99528701678052,1427.6995979899589,0.9244402030767608,507
19000,76.00000000000095,-2032763.812308684,126543.546875,-1906220.265433684,114.45527654157434,1427.6995979899589,0.9244402030767608,507
20000,80.00000000000584,-2027410.710746184,132223.78125,-1895186.929496184,119.59289763934382,1427.6995979899589,0.9244402030767608,505
21000,84.00000000001073,-2021946.089652434,140275.203125,-1881670.886527434,126.87519484068821,1427.6995979899589,0.9244402030767608,505
22000,88.00000000001562,-2015428.984183684,145803.75,-1869625.234183684,131.87561862425923,1427.6995979899589,0.9244402030767608,505
23000,92.0000000000205,-2010467.966605559,152537.9375,-1857930.029105559,137.9665123255135,1427.6995979899589,0.9244402030767608,503
24000,96.0000000000254,-2004983.886527434,159679.765625,-1845304.120902434,144.42610614317942,1427.6995979899589,0.9244402030767608,503
25000,100.00000000003028,-1996135.079886809,166636.78125,-1829498.298636809,150.7185419641066,1427.6995979899589,0.9244402030767608,500
26000,104.00000000003517,-1990248.531058684,173101.71875,-1817146.812308684,156.56590619293937,1427.6995979899589,0.9244402030767608,500
27000,108.00000000004006,-1982100.150199309,180023.765625,-1802076.384574309,162.8267137084302,1427.6995979899589,0.9244402030767608,500
28000,112.00000000004495,-1975069.933402434,185959.46875,-1789110.464652434,168.19539950409265,1427.6995979899589,0.9244402030767608,498
29000,116.00000000004984,-1968363.257621184,193207.046875,-1775156.210746184,174.75064138752862,1427.6995979899589,0.9244402030767608,497
30000,120.00000000005473,-1959951.396293059,198250.46875,-1761700.927543059,179.3122824958591,1427.6995979899589,0.9244402030767608,495
31000,124.00000000005961,-1950395.950980559,205703.25,-1744692.700980559,186.05312515467298,1427.6995979899589,0.9244402030767608,494
32000,128.0000000000645,-1939774.859183684,212364.90625,-1727409.952933684,192.07841626708202,1427.6995979899589,0.9244402030767608,494
33000,132.00000000005517,-1930040.070121184,219241.59375,-1710798.476371184,198.2981974328491,1427.6995979899589,0.9244402030767608,492
34000,136.00000000004584,-1916188.997855559,225794.09375,-1690394.904105559,204.22475961684958,1427.6995979899589,0.9244402030767608,491
35000,140.00000000003652,-1903792.593558684,233005.765625,-1670786.827933684,210.74752525100368,1427.6995979899589,0.9244402030767608,489
36000,144.0000000000272,-1888997.786918059,238149.90625,-1650847.880668059,215.4002637931335,1427.6995979899589,0.9244402030767608,489
37000,148.00000000001788,-1875620.615043059,245897.015625,-1629723.599418059,222.40731842223542,1427.6995979899589,0.9244402030767608,488
38000,152.00000000000855,-1856322.097464934,251554.75,-1604767.347464934,227.52458886771342,1427.6995979899589,0.9244402030767608,486
39000,155.99999999999923,-1839830.499808684,257502.9375,-1582327.562308684,232.9045664489182,1427.6995979899589,0.9244402030767608,486
40000,159.9999999999899,-1823856.646293059,266165.25,-1557691.396293059,240.73939799237405,1427.6995979899589,0.9244402030767608,484
41000,163.9999999999806,-1808253.597464934,271996.34375,-1536257.253714934,246.01346738727852,1427.6995979899589,0.9244402030767608,484
42000,167.99999999997127,-1793447.927543059,279923.5,-1513524.427543059,253.1833696319047,1427.6995979899589,0.9244402030767608,483
43000,171.99999999996194,-1779354.745902434,286131.25,-1493223.495902434,258.7981145991277,1427.6995979899589,0.9244402030767608,482
44000,175.99999999995262,-1765632.046683684,292419.375,-1473212.671683684,264.48555661870313,1427.6995979899589,0.9244402030767608,481
45000,179.9999999999433,-1752391.675589934,298952.0,-1453439.675589934,270.3941423931795,1427.6995979899589,0.9244402030767608,480
46000,183.99999999993398,-1736906.314261809,304973.0,-1431933.314261809,275.8399769463831,1427.6995979899589,0.9244402030767608,479
47000,187.99999999992465,-1722563.929496184,312365.71875,-1410198.210746184,282.52649466949657,1427.6995979899589,0.9244402030767608,479
48000,191.99999999991533,-1709644.628714934,319351.53125,-1390293.097464934,288.84497649887743,1427.6995979899589,0.9244402030767608,478
49000,195.999999999906,-1697271.929496184,325782.0625,-1371489.866996184,294.66122118858107,1427.6995979899589,0.9244402030767608,477
50000,199.9999999998967,-1684614.699027434,332165.0,-1352449.699027434,300.43441859572926,1427.6995979899589,0.9244402030767608,476
51000,203.99999999988736,-1683884.626761809,330589.4375,-1353295.189261809,299.0093641690175,1427.6995979899589,0.9244402030767608,476
52000,207.99999999987804,-1682213.616996184,331700.5625,-1350513.054496184,300.014347214679,1427.6995979899589,0.9244402030767608,475
53000,211.99999999986872,-1680603.722464934,331155.84375,-1349447.878714934,299.52166357566097,1427.6995979899589,0.9244402030767608,474
54000,215.9999999998594,-1680857.187308684,334302.40625,-1346554.781058684,302.36764576903664,1427.6995979899589,0.9244402030767608,474
55000,219.99999999985008,-1679757.630668059,334367.46875,-1345390.161918059,302.42649307191283,1427.6995979899589,0.9244402030767608,473
56000,223.99999999984075,-1682411.763480559,332985.96875,-1349425.794730559,301.17696302121516,1427.6995979899589,0.9244402030767608,473
57000,227.99999999983143,-1680127.704886809,331421.3125,-1348706.392386809,299.76177300790573,1427.6995979899589,0.9244402030767608,472
58000,231.9999999998221,-1680569.447074309,332908.875,-1347660.572074309,301.1072337723219,1427.6995979899589,0.9244402030767608,471
59000,235.9999999998128,-1681206.404105559,331722.59375,-1349483.810355559,300.03427389504776,1427.6995979899589,0.9244402030767608,471
60000,239.99999999980346,-1680392.607230559,333504.21875,-1346888.388480559,301.64570637899584,1427.6995979899589,0.9244402030767608,470
61000,243.99999999979414,-1680364.755668059,331511.34375,-1348853.411918059,299.84320388186654,1427.6995979899589,0.9244402030767608,470
62000,247.99999999978482,-1679834.552543059,334031.75,-1345802.802543059,302.12284438084686,1427.6995979899589,0.9244402030767608,470
63000,251.9999999997755,-1679314.292777434,331624.75,-1347689.542777434,299.9457768223747,1427.6995979899589,0.9244402030767608,469
64000,255.99999999976617,-1680614.435355559,331458.84375,-1349155.591605559,299.79571902651975,1427.6995979899589,0.9244402030767608,469
65000,259.99999999978525,-1679520.044730559,332567.375,-1346952.669730559,300.79835609420877,1427.6995979899589,0.9244402030767608,468
66000,263.99999999980434,-1681225.732230559,333216.90625,-1348008.825980559,301.38583985515146,1427.6995979899589,0.9244402030767608,468
67000,267.99999999982344,-1680115.740043059,333590.0625,-1346525.677543059,301.72334977044693,1427.6995979899589,0.9244402030767608,468
68000,271.99999999984254,-1681599.075980559,332671.875,-1348927.200980559,300.8928735681849,1427.6995979899589,0.9244402030767608,467
69000,275.99999999986164,-1683442.329886809,330416.5625,-1353025.767386809,298.85300332391114,1427.6995979899589,0.9244402030767608,467
70000,279.99999999988074,-1682785.288871184,332393.53125,-1350391.757621184,300.64111904046223,1427.6995979899589,0.9244402030767608,466
71000,283.99999999989984,-1680319.056449309,331737.28125,-1348581.775199309,300.047558348627,1427.6995979899589,0.9244402030767608,466
72000,287.99999999991894,-1681999.808402434,333142.8125,-1348856.995902434,301.31882402656373,1427.6995979899589,0.9244402030767608,466
73000,291.99999999993804,-1679399.548636809,333498.96875,-1345900.579886809,301.6409578934612,1427.6995979899589,0.9244402030767608,466
74000,295.99999999995714,-1683708.574027434,333060.15625,-1350648.417777434,301.24406364418735,1427.6995979899589,0.9244402030767608,466
75000,299.99999999997624,-1682836.628714934,330423.0625,-1352413.566214934,298.85888240123984,1427.6995979899589,0.9244402030767608,465
76000,303.99999999999534,-1682074.849418059,333522.71875,-1348552.130668059,301.66243913754664,1427.6995979899589,0.9244402030767608,465
77000,308.00000000001444,-1684632.068168059,332418.5,-1352213.568168059,300.6637026115468,1427.6995979899589,0.9244402030767608,465
78000,312.00000000003354,-1681908.046683684,333908.28125,-1347999.765433684,302.0111701763973,1427.6995979899589,0.9244402030767608,464
79000,316.00000000005264,-1683183.257621184,333702.21875,-1349481.038871184,301.82479211916103,1427.6995979899589,0.9244402030767608,464
80000,320.00000000007174,-1684326.359183684,332105.125,-1352221.234183684,300.38026324879803,1427.6995979899589,0.9244402030767608,464
81000,324.00000000009084,-1681702.038871184,333886.9375,-1347815.101371184,301.9918653215152,1427.6995979899589,0.9244402030767608,464
82000,328.00000000010994,-1682727.533011809,332739.21875,-1349988.314261809,300.9537842010851,1427.6995979899589,0.9244402030767608,464
83000,332.00000000012903,-1682785.132621184,332719.6875,-1350065.445121184,300.9361187043043,1427.6995979899589,0.9244402030767608,463
84000,336.00000000014813,-1685048.040824309,332397.125,-1352650.915824309,300.64436949186984,1427.6995979899589,0.9244402030767608,463
85000,340.00000000016723,-1683273.402152434,330935.4375,-1352337.964652434,299.32231197758887,1427.6995979899589,0.9244402030767608,463
86000,344.00000000018633,-1685499.351371184,331393.0625,-1354106.288871184,299.73622163336194,1427.6995979899589,0.9244402030767608,463
87000,348.00000000020543,-1681755.347464934,331778.8125,-1349976.534964934,300.0851222609817,1427.6995979899589,0.9244402030767608,463
88000,352.00000000022453,-1681930.915824309,332572.6875,-1349358.228324309,300.8031611093332,1427.6995979899589,0.9244402030767608,462
89000,356.00000000024363,-1681610.775199309,332629.625,-1348981.150199309,300.8546595655486,1427.6995979899589,0.9244402030767608,462
90000,360.00000000026273,-1682914.595511809,332085.90625,-1350828.689261809,300.3628803999657,1427.6995979899589,0.9244402030767608,462
91000,364.00000000028183,-1683083.919730559,332995.8125,-1350088.107230559,301.1858664315927,1427.6995979899589,0.9244402030767608,462
92000,368.00000000030093,-1681777.486136809,333918.5,-1347858.986136809,302.020412764313,1427.6995979899589,0.9244402030767608,462
93000,372.00000000032003,-1680537.394339934,333301.125,-1347236.269339934,301.4620134772703,1427.6995979899589,0.9244402030767608,461
94000,376.0000000003391,-1682349.536918059,331205.15625,-1351144.380668059,299.56626542193317,1427.6995979899589,0.9244402030767608,461
95000,380.0000000003582,-1680490.306449309,333485.5,-1347004.806449309,301.6287757668811,1427.6995979899589,0.9244402030767608,461
96000,384.0000000003773,-1682790.706839934,332914.375,-1349876.331839934,301.1122083762154,1427.6995979899589,0.9244402030767608,461
97000,388.0000000003964,-1682846.013480559,334544.34375,-1348301.669730559,302.58647181075986,1427.6995979899589,0.9244402030767608,461
98000,392.0000000004155,-1681690.462699309,332852.34375,-1348838.118949309,301.0561027584395,1427.6995979899589,0.9244402030767608,461
99000,396.0000000004346,-1682266.159964934,332113.03125,-1350153.128714934,300.38741424189493,1427.6995979899589,0.9244402030767608,461
100000,400.0000000004537,-1683289.581839934,332953.375,-1350336.206839934,301.1474828401873,1427.6995979899589,0.9244402030767608,460
101000,404.0000000004728,-1683672.908011809,333459.375,-1350213.533011809,301.60514639838715,1427.6995979899589,0.9244402030767608,460
102000,408.0000000004919,-1681215.980277434,332872.96875,-1348343.011527434,301.0747575230401,1427.6995979899589,0.9244402030767608,460
103000,412.000000000511,-1681559.765433684,332618.5,-1348941.265433684,300.84459729858224,1427.6995979899589,0.9244402030767608,460
104000,416.0000000005301,-1682275.017386809,332515.5625,-1349759.454886809,300.75149306434867,1427.6995979899589,0.9244402030767608,460
105000,420.0000000005492,-1682165.921683684,331553.875,-1350612.046683684,299.8816722676564,1427.6995979899589,0.9244402030767608,460
106000,424.0000000005683,-1683719.857230559,333102.65625,-1350617.200980559,301.2825037651824,1427.6995979899589,0.9244402030767608,460
107000,428.0000000005874,-1683513.779105559,332504.40625,-1351009.372855559,300.7414025325875,1427.6995979899589,0.9244402030767608,460
108000,432.0000000006065,-1681570.085746184,332899.1875,-1348670.898246184,301.09847168591864,1427.6995979899589,0.9244402030767608,459
109000,436.0000000006256,-1685477.240043059,333966.9375,-1351510.302543059,302.0642231963294,1427.6995979899589,0.9244402030767608,459
110000,440.0000000006447,-1683192.519339934,331765.25,-1351427.269339934,300.0728553400171,1427.6995979899589,0.9244402030767608,459
111000,444.0000000006638,-1684151.812308684,332160.84375,-1351990.968558684,300.43065937801435,1427.6995979899589,0.9244402030767608,459
112000,448.0000000006829,-1683122.183402434,330793.4375,-1352328.745902434,299.1938767497936,1427.6995979899589,0.9244402030767608,459
113000,452.000000000702,-1681793.163871184,334467.40625,-1347325.757621184,302.5168838858409,1427.6995979899589,0.9244402030767608,459
114000,456.0000000007211,-1682912.747855559,333488.03125,-1349424.716605559,301.63106521526396,1427.6995979899589,0.9244402030767608,459
115000,460.0000000007402,-1681087.445121184,333627.5625,-1347459.882621184,301.75726752426607,1427.6995979899589,0.9244402030767608,458
116000,464.0000000007593,-1682722.179496184,332796.6875,-1349925.491996184,301.00576315881295,1427.6995979899589,0.9244402030767608,459
117000,468.0000000007784,-1684505.878714934,333232.3125,-1351273.566214934,301.3997743990122,1427.6995979899589,0.9244402030767608,459
118000,472.0000000007975,-1686164.116996184,332732.125,-1353431.991996184,300.9473680926543,1427.6995979899589,0.9244402030767608,458
119000,476.0000000008166,-1682620.560355559,334361.125,-1348259.435355559,302.42075531855846,1427.6995979899589,0.9244402030767608,458
120000,480.0000000008357,-1681765.601371184,333147.8125,-1348617.788871184,301.32334639373966,1427.6995979899589,0.9244402030767608,458
121000,484.0000000008548,-1682526.575980559,333772.5625,-1348754.013480559,301.88841617236676,1427.6995979899589,0.9244402030767608,458
122000,488.0000000008739,-1683406.706839934,334285.1875,-1349121.519339934,302.35207186707464,1427.6995979899589,0.9244402030767608,458
123000,492.000000000893,-1683803.704886809,332042.9375,-1351760.767386809,300.32401630704794,1427.6995979899589,0.9244402030767608,458
124000,496.0000000009121,-1681634.804496184,333137.46875,-1348497.335746184,301.31399074664455,1427.6995979899589,0.9244402030767608,458
125000,500.0000000009312,-1682096.038871184,331899.09375,-1350196.945121184,300.1939134563566,1427.6995979899589,0.9244402030767608,458
126000,504.0000000009503,-1684668.943168059,331963.6875,-1352705.255668059,300.2523367873101,1427.6995979899589,0.9244402030767608,458
127000,508.0000000009694,-1683964.300589934,331284.875,-1352679.425589934,299.6383689135937,1427.6995979899589,0.9244402030767608,458
128000,512.0000000009885,-1680610.802543059,333419.4375,-1347191.365043059,301.56902399056975,1427.6995979899589,0.9244402030767608,458
129000,516.0000000010076,-1683330.048636809,332987.5625,-1350342.486136809,301.17840452575246,1427.6995979899589,0.9244402030767608,458
130000,520.0000000010267,-1680419.253714934,333938.8125,-1346480.441214934,302.038784880965,1427.6995979899589,0.9244402030767608,458
131000,524.0000000010458,-1683210.363089934,332961.5,-1350248.863089934,301.1548316868481,1427.6995979899589,0.9244402030767608,458
132000,528.0000000010649,-1683246.378714934,333812.4375,-1349433.941214934,301.92448205059446,1427.6995979899589,0.9244402030767608,458
133000,532.000000001084,-1683948.976371184,333614.3125,-1350334.663871184,301.74528325124993,1427.6995979899589,0.9244402030767608,458
134000,536.0000000011031,-1683476.060355559,332751.5625,-1350724.497855559,300.9649487950506,1427.6995979899589,0.9244402030767608,458
135000,540.0000000011222,-1682479.079886809,333619.625,-1348859.454886809,301.75008826637435,1427.6995979899589,0.9244402030767608,458
136000,544.0000000011413,-1682099.429496184,332738.40625,-1349361.023246184,300.953049316419,1427.6995979899589,0.9244402030767608,458
137000,548.0000000011604,-1681327.238089934,333757.875,-1347569.363089934,301.8751317187876,1427.6995979899589,0.9244402030767608,458
138000,552.0000000011795,-1682976.366996184,333397.8125,-1349578.554496184,301.54946475253405,1427.6995979899589,0.9244402030767608,458
139000,556.0000000011986,-1682427.679496184,333901.09375,-1348526.585746184,302.00466927358195,1427.6995979899589,0.9244402030767608,458
140000,560.0000000012177,-1682506.394339934,333004.5,-1349501.894339934,301.1937240445608,1427.6995979899589,0.9244402030767608,458
141000,564.0000000012368,-1683443.370902434,331875.46875,-1351567.902152434,300.17254527145053,1427.6995979899589,0.9244402030767608,458
142000,568.0000000012559,-1684244.212699309,332554.09375,-1351690.118949309,300.78634355639787,1427.6995979899589,0.9244402030767608,458
143000,572.000000001275,-1685273.671683684,333412.75,-1351860.921683684,301.56297532447195,1427.6995979899589,0.9244402030767608,458
144000,576.0000000012941,-1681523.599418059,333408.1875,-1348115.411918059,301.55884866442403,1427.6995979899589,0.9244402030767608,458
145000,580.0000000013132,-1682268.191214934,332123.25,-1350144.941214934,300.3966568298106,1427.6995979899589,0.9244402030767608,458
146000,584.0000000013323,-1682903.777152434,332797.6875,-1350106.089652434,301.00666763224814,1427.6995979899589,0.9244402030767608,458
147000,588.0000000013514,-1683471.917777434,332383.25,-1351088.667777434,300.63181992295677,1427.6995979899589,0.9244402030767608,458
148000,592.0000000013705,-1683570.089652434,333208.0625,-1350362.027152434,301.3778409182091,1427.6995979899589,0.9244402030767608,458
149000,596.0000000013896,-1686417.568168059,332607.5,-1353810.068168059,300.8346480907953,1427.6995979899589,0.9244402030767608,458
150000,600.0000000014087,-1682426.816214934,331953.875,-1350472.941214934,300.24346164172744,1427.6995979899589,0.9244402030767608,458
