#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
1000,4.000000000000003,-2109529.960746184,8113.670611282547,-2101416.2901349016,7.338599529685329,1427.6995979899589,0.9244402030767608,0
2000,7.999999999999562,-2108887.460746184,13710.980303533306,-2095176.4804426506,12.401217454787604,1427.6995979899589,0.9244402030767608,191
3000,11.999999999999122,-2104964.460746184,20031.36795848148,-2084933.0927877026,18.11784018871195,1427.6995979899589,0.9244402030767608,160
4000,15.999999999998682,-2100672.460746184,26726.824832335868,-2073945.6359138482,24.17370306748973,1427.6995979899589,0.9244402030767608,170
5000,20.000000000000018,-2096318.460746184,33342.98316694808,-2062975.477579236,30.15784252407458,1427.6995979899589,0.9244402030767608,162
6000,24.000000000001354,-2091802.960746184,40037.94034778299,-2051765.020398401,36.21325344379051,1427.6995979899589,0.9244402030767608,166
7000,28.00000000000269,-2087372.460746184,46704.11664620642,-2040668.3440999775,42.242632819924275,1427.6995979899589,0.9244402030767608,169
8000,32.00000000000402,-2083095.460746184,53082.24563961065,-2030013.2151065734,48.01148106059371,1427.6995979899589,0.9244402030767608,163
9000,36.000000000001805,-2079105.960746184,59945.079392813626,-2019160.8813533704,54.2187318804052,1427.6995979899589,0.9244402030767608,165
10000,39.99999999999959,-2074567.460746184,66502.95753900518,-2008064.5032071788,60.15015845476643,1427.6995979899589,0.9244402030767608,161
11000,43.99999999999737,-2069943.460746184,73360.77056024816,-1996582.690185936,66.35286815589495,1427.6995979899589,0.9244402030767608,163
12000,47.999999999995154,-2065219.960746184,79964.66763330318,-1985255.2931128808,72.32591762711957,1427.6995979899589,0.9244402030767608,164
13000,51.99999999999294,-2060873.460746184,86654.36950078295,-1974219.091245401,78.37657525551224,1427.6995979899589,0.9244402030767608,161
14000,55.99999999999072,-2056920.960746184,93088.93590783524,-1963832.0248383489,84.19646963757647,1427.6995979899589,0.9244402030767608,162
15000,59.9999999999885,-2051227.460746184,99550.64471712091,-1951676.816029063,90.0409136014277,1427.6995979899589,0.9244402030767608,160
16000,63.99999999998629,-2046805.460746184,106316.34260781694,-1940489.118138367,96.1603076139986,1427.6995979899589,0.9244402030767608,161
17000,67.99999999999118,-2041949.960746184,113037.18913019185,-1928912.771615992,102.23913475539169,1427.6995979899589,0.9244402030767608,161
18000,71.99999999999606,-2036836.960746184,120148.11758839892,-1916688.843157785,108.67078064528756,1427.6995979899589,0.9244402030767608,160
19000,76.00000000000095,-2030423.460746184,126348.73403501746,-1904074.7267111666,114.27907350297865,1427.6995979899589,0.9244402030767608,160
20000,80.00000000000584,-2025245.460746184,132446.70049284844,-1892798.7602533356,119.79452217269011,1427.6995979899589,0.9244402030767608,159
21000,84.00000000001073,-2019914.460746184,139574.44826766878,-1880340.0124785153,126.24138068766052,1427.6995979899589,0.9244402030767608,160
22000,88.00000000001562,-2013393.960746184,146566.5348582888,-1866827.4258878953,132.56553726533707,1427.6995979899589,0.9244402030767608,160
23000,92.0000000000205,-2007319.460746184,153043.2243145367,-1854276.2364316473,138.4235308264074,1427.6995979899589,0.9244402030767608,159
24000,96.0000000000254,-2002083.460746184,160053.26860788616,-1842030.192138298,144.7639296691595,1427.6995979899589,0.9244402030767608,159
25000,100.00000000003028,-1995253.460746184,165228.1857942216,-1830025.2749519623,149.44450479344331,1427.6995979899589,0.9244402030767608,158
26000,104.00000000003517,-1988473.460746184,173227.4096150569,-1815246.0511311272,156.6795902414278,1427.6995979899589,0.9244402030767608,159
27000,108.00000000004006,-1981340.460746184,179787.25593890113,-1801553.204807283,162.61279698019158,1427.6995979899589,0.9244402030767608,159
28000,112.00000000004495,-1974480.460746184,186895.09433010785,-1787585.3664160762,169.04164798657274,1427.6995979899589,0.9244402030767608,157
29000,116.00000000004984,-1967333.460746184,192931.0197170969,-1774402.4410290872,174.50098215581772,1427.6995979899589,0.9244402030767608,158
30000,120.00000000005473,-1958672.460746184,199039.94525853073,-1759632.5154876532,180.02634302552184,1427.6995979899589,0.9244402030767608,156
31000,124.00000000005961,-1948909.960746184,206640.5357002215,-1742269.4250459624,186.90087517169505,1427.6995979899589,0.9244402030767608,157
32000,128.0000000000645,-1940462.960746184,213655.51091662404,-1726807.44982956,193.2457339033596,1427.6995979899589,0.9244402030767608,157
33000,132.00000000005517,-1927952.960746184,219069.73338825774,-1708883.2273579263,198.14275430109325,1427.6995979899589,0.9244402030767608,156
34000,136.00000000004584,-1916776.960746184,224925.89920644806,-1691851.0615397359,203.4395007156408,1427.6995979899589,0.9244402030767608,156
35000,140.00000000003652,-1904113.460746184,232411.20012299673,-1671702.2606231873,210.20975654896876,1427.6995979899589,0.9244402030767608,155
36000,144.0000000000272,-1887966.460746184,239682.28696099558,-1648284.1737851885,216.7862614388074,1427.6995979899589,0.9244402030767608,155
37000,148.00000000001788,-1873884.460746184,245830.4034635186,-1628054.0572826653,222.34706949171576,1427.6995979899589,0.9244402030767608,155
38000,152.00000000000855,-1857393.460746184,252483.73530483176,-1604909.7254413522,228.36483139760404,1427.6995979899589,0.9244402030767608,154
39000,155.99999999999923,-1838204.460746184,258258.85727883969,-1579945.6034673443,233.5882758080039,1427.6995979899589,0.9244402030767608,154
40000,159.9999999999899,-1821046.960746184,263882.69463862275,-1557164.2661075613,238.6748873036864,1427.6995979899589,0.9244402030767608,153
41000,163.9999999999806,-1805513.960746184,272743.3644897831,-1532770.596256401,246.689127801939,1427.6995979899589,0.9244402030767608,154
42000,167.99999999997127,-1790671.460746184,278953.4617830499,-1511717.9989631341,252.30599583356644,1427.6995979899589,0.9244402030767608,154
43000,171.99999999996194,-1775904.460746184,284532.33675341256,-1491372.1239927714,257.351940042436,1427.6995979899589,0.9244402030767608,153
44000,175.99999999995262,-1763792.460746184,290123.3616087884,-1473669.0991373956,262.40887349954045,1427.6995979899589,0.9244402030767608,153
45000,179.9999999999433,-1750544.460746184,299603.1443409854,-1450941.3164051985,270.9830851520669,1427.6995979899589,0.9244402030767608,152
46000,183.99999999993398,-1736565.460746184,305015.33193259384,-1431550.1288135902,275.87826505487396,1427.6995979899589,0.9244402030767608,152
47000,187.99999999992465,-1724069.460746184,312892.7315876238,-1411176.7291585603,283.0031637811249,1427.6995979899589,0.9244402030767608,152
48000,191.99999999991533,-1709285.460746184,316973.8016020646,-1392311.6591441194,286.6943831962859,1427.6995979899589,0.9244402030767608,152
49000,195.999999999906,-1696070.460746184,325967.2068771511,-1370103.253869033,294.82867935938674,1427.6995979899589,0.9244402030767608,152
