#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
1000,4.000000000000003,-2100036.6281414926,8035.190046809978,-2092001.4380946825,7.2960925148404625,1427.029397610669,0.9212475885025758,0
2000,7.999999999999562,-2098679.1281414926,13521.241112091855,-2085157.8870294008,12.27752243501099,1427.029397610669,0.9212475885025758,169
3000,11.999999999999122,-2095279.1281414926,20113.738138385976,-2075165.3900031066,18.263624559222517,1427.029397610669,0.9212475885025758,213
4000,15.999999999998682,-2091197.1281414926,26692.955674931538,-2064504.172466561,24.23766867544781,1427.029397610669,0.9212475885025758,233
5000,20.000000000000018,-2087531.1281414926,33262.302011516644,-2054268.826129976,30.202749570178103,1427.029397610669,0.9212475885025758,244
6000,24.000000000001354,-2083234.6281414926,40040.817612551036,-2043193.8105289415,36.357759800218766,1427.029397610669,0.9212475885025758,251
7000,28.00000000000269,-2078245.1281414926,46424.75961293405,-2031820.3685285586,42.15449032841105,1427.029397610669,0.9212475885025758,255
8000,32.00000000000402,-2074766.1281414926,52984.16906248266,-2021781.95907901,48.110548356637196,1427.029397610669,0.9212475885025758,258
9000,36.000000000001805,-2070368.1281414926,59709.31496106505,-2010658.8131804275,54.21709796728854,1427.029397610669,0.9212475885025758,260
10000,39.99999999999959,-2066241.1281414926,66135.1642028814,-2000105.963938611,60.05188100061861,1427.029397610669,0.9212475885025758,262
11000,43.99999999999737,-2061880.6281414926,72918.00132553428,-1988962.6268159584,66.21081524755864,1427.029397610669,0.9212475885025758,263
12000,47.999999999995154,-2057750.1281414926,79598.0018934091,-1978152.1262480835,72.27637211161202,1427.029397610669,0.9212475885025758,264
13000,51.99999999999294,-2052920.6281414926,86525.67635165904,-1966394.9517898336,78.56682118196792,1427.029397610669,0.9212475885025758,265
