#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
1000,4.000000000000003,-2100302.1281414926,8312.353397891087,-2091989.7747436014,7.547761665094576,1427.029397610669,0.9212475885025758,0
2000,7.999999999999562,-2099461.1281414926,13477.35947242111,-2085983.7686690716,12.237677141884694,1427.029397610669,0.9212475885025758,247
3000,11.999999999999122,-2095672.6281414926,20012.725422470685,-2075659.902719022,18.171903253789818,1427.029397610669,0.9212475885025758,325
4000,15.999999999998682,-2091303.1281414926,26566.04303349316,-2064737.0851079994,24.12242978653008,1427.029397610669,0.9212475885025758,363
5000,20.000000000000018,-2087089.1281414926,33354.32312527909,-2053734.8050162136,30.286306344245443,1427.029397610669,0.9212475885025758,385
6000,24.000000000001354,-2083410.6281414926,39745.648666258,-2043664.9794752346,36.08974125590108,1427.029397610669,0.9212475885025758,399
7000,28.00000000000269,-2078942.1281414926,46710.243414582,-2032231.8847269106,42.41371459270069,1427.029397610669,0.9212475885025758,407
8000,32.00000000000402,-2074880.6281414926,52928.21435007483,-2021952.4137914178,48.059740503183754,1427.029397610669,0.9212475885025758,414
9000,36.000000000001805,-2070143.6281414926,59410.91732544044,-2010732.7108160523,53.94614771682232,1427.029397610669,0.9212475885025758,418
10000,39.99999999999959,-2065895.6281414926,66597.89986343161,-1999297.728278061,60.47205304006284,1427.029397610669,0.9212475885025758,420
11000,43.99999999999737,-2061220.6281414926,73207.50398404406,-1988013.1241574485,66.47368870387697,1427.029397610669,0.9212475885025758,422
12000,47.999999999995154,-2057162.6281414926,79748.7596974168,-1977413.8684440758,72.41326282346407,1427.029397610669,0.9212475885025758,424
13000,51.99999999999294,-2052652.1281414926,86703.90068783789,-1965948.2274536546,78.72865198342768,1427.029397610669,0.9212475885025758,425
14000,55.99999999999072,-2048331.1281414926,92543.22201207119,-1955787.9061294214,84.0308574517851,1427.029397610669,0.9212475885025758,426
15000,59.9999999999885,-2043326.1281414926,99320.46425902125,-1944005.6638824714,90.18471145413864,1427.029397610669,0.9212475885025758,426
16000,63.99999999998629,-2039057.1281414926,106013.90325836088,-1933043.2248831317,96.26247064802494,1427.029397610669,0.9212475885025758,426
17000,67.99999999999118,-2034120.1281414926,112530.21247849171,-1921589.915663001,102.17939291724466,1427.029397610669,0.9212475885025758,427
18000,71.99999999999606,-2029129.6281414926,119444.9992713652,-1909684.6288701275,108.45813976296877,1427.029397610669,0.9212475885025758,427
19000,76.00000000000095,-2023565.1281414926,125331.14857699693,-1898233.9795644956,113.8028658540589,1427.029397610669,0.9212475885025758,427
20000,80.00000000000584,-2017685.1281414926,132201.89195857232,-1885483.2361829202,120.04162051520143,1427.029397610669,0.9212475885025758,427
21000,84.00000000001073,-2011653.1281414926,138821.56716056497,-1872831.5609809277,126.0524008963211,1427.029397610669,0.9212475885025758,427
22000,88.00000000001562,-2005396.6281414926,145946.62137576708,-1859450.0067657256,132.52207422383714,1427.029397610669,0.9212475885025758,427
23000,92.0000000000205,-2000079.1281414926,152087.54909900838,-1847991.5790424843,138.09814355570126,1427.029397610669,0.9212475885025758,427
24000,96.0000000000254,-1994035.6281414926,159000.96258763297,-1835034.6655538597,144.37564341724794,1427.029397610669,0.9212475885025758,427
25000,100.00000000003028,-1986343.1281414926,165900.27291195802,-1820442.8552295347,150.6403373599698,1427.029397610669,0.9212475885025758,427
26000,104.00000000003517,-1979842.6281414926,172976.98335983726,-1806865.6447816554,157.0661137047326,1427.029397610669,0.9212475885025758,427
27000,108.00000000004006,-1973868.6281414926,179279.24066701753,-1794589.387474475,162.7886731087596,1427.029397610669,0.9212475885025758,426
28000,112.00000000004495,-1966064.1281414926,185026.35426415014,-1781037.7738773425,168.00715235488823,1427.029397610669,0.9212475885025758,426
29000,116.00000000004984,-1958037.1281414926,192326.88990528326,-1765710.2382362094,174.63616587358456,1427.029397610669,0.9212475885025758,425
30000,120.00000000005473,-1950639.6281414926,198063.82007868314,-1752575.8080628095,179.8453983935948,1427.029397610669,0.9212475885025758,425
31000,124.00000000005961,-1940757.1281414926,205040.02085350596,-1735717.1072879867,186.17991020460244,1427.029397610669,0.9212475885025758,424
32000,128.0000000000645,-1931846.6281414926,211887.53759932375,-1719959.0905421688,192.39757467592887,1427.029397610669,0.9212475885025758,424
33000,132.00000000005517,-1921463.1281414926,218040.6971309044,-1703422.4310105883,197.98475070281174,1427.029397610669,0.9212475885025758,423
34000,136.00000000004584,-1909607.1281414926,224979.39207480237,-1684627.7360666902,204.28520656608455,1427.029397610669,0.9212475885025758,423
35000,140.00000000003652,-1895471.1281414926,231173.57563146058,-1664297.552510032,209.90963312227086,1427.029397610669,0.9212475885025758,422
36000,144.0000000000272,-1880666.1281414926,237597.1668199063,-1643068.9613215863,215.7423658038109,1427.029397610669,0.9212475885025758,421
37000,148.00000000001788,-1865045.1281414926,244329.08095862798,-1620716.0471828645,221.85506109439407,1427.029397610669,0.9212475885025758,421
