#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
1000,4.000000000000003,-2099956.1281414926,7908.528379934353,-2092047.5997615582,7.181081515197044,1427.029397610669,0.9212475885025758,0
2000,7.999999999999562,-2098922.6281414926,13571.428029730403,-2085351.2001117622,12.323093030353771,1427.029397610669,0.9212475885025758,169
3000,11.999999999999122,-2095361.1281414926,20008.12492208503,-2075353.0032194075,18.16772591931076,1427.029397610669,0.9212475885025758,214
4000,15.999999999998682,-2091454.6281414926,26678.895708293574,-2064775.732433199,24.224901980852096,1427.029397610669,0.9212475885025758,234
5000,20.000000000000018,-2087426.6281414926,33176.31710429707,-2054250.3110371956,30.124673776786874,1427.029397610669,0.9212475885025758,246
6000,24.000000000001354,-2083452.1281414926,39934.591238611305,-2043517.5369028812,36.26130440249136,1427.029397610669,0.9212475885025758,253
7000,28.00000000000269,-2078956.1281414926,46405.81708758909,-2032550.3110539035,42.13729018546777,1427.029397610669,0.9212475885025758,258
8000,32.00000000000402,-2075151.1281414926,53249.50432830204,-2021901.6238131905,48.351477399458844,1427.029397610669,0.9212475885025758,261
9000,36.000000000001805,-2071324.6281414926,59839.00451078989,-2011485.6236307027,54.33485833729697,1427.029397610669,0.9212475885025758,264
10000,39.99999999999959,-2066412.1281414926,66461.93937342867,-1999950.188768064,60.34859854705825,1427.029397610669,0.9212475885025758,266
11000,43.99999999999737,-2062139.6281414926,73337.54182929808,-1988802.0863121946,66.59176533229231,1427.029397610669,0.9212475885025758,267
12000,47.999999999995154,-2057357.1281414926,79534.10412332279,-1977823.0240181698,72.21835182343888,1427.029397610669,0.9212475885025758,268
13000,51.99999999999294,-2053212.6281414926,86209.86727587452,-1967002.760865618,78.28006104057401,1427.029397610669,0.9212475885025758,269
14000,55.99999999999072,-2047970.1281414926,92952.36028378228,-1955017.7678577104,84.4023621286348,1427.029397610669,0.9212475885025758,269
15000,59.9999999999885,-2043212.1281414926,99521.329109858,-1943690.7990316346,90.3671002372473,1427.029397610669,0.9212475885025758,269
16000,63.99999999998629,-2038571.6281414926,106410.18116112554,-1932161.446980367,96.62229788587675,1427.029397610669,0.9212475885025758,270
17000,67.99999999999118,-2033412.6281414926,112468.33888290067,-1920944.2892585918,102.12321061476915,1427.029397610669,0.9212475885025758,270
18000,71.99999999999606,-2028016.6281414926,119515.50463070508,-1908501.1235107875,108.52215985727133,1427.029397610669,0.9212475885025758,270
19000,76.00000000000095,-2022705.1281414926,125957.99327443435,-1896747.1348670581,114.3720517573539,1427.029397610669,0.9212475885025758,270
20000,80.00000000000584,-2017385.6281414926,132608.28422124824,-1884777.3439202444,120.41063176801877,1427.029397610669,0.9212475885025758,270
21000,84.00000000001073,-2011225.6281414926,139846.62811387732,-1871379.0000276153,126.98317409585316,1427.029397610669,0.9212475885025758,270
22000,88.00000000001562,-2006049.1281414926,145681.6850367595,-1860367.443104733,132.28150741350885,1427.029397610669,0.9212475885025758,270
23000,92.0000000000205,-2000163.1281414926,152537.57536554494,-1847625.5527759476,138.50677524401615,1427.029397610669,0.9212475885025758,270
24000,96.0000000000254,-1994150.1281414926,158681.98033482215,-1835468.1478066705,144.0860019758456,1427.029397610669,0.9212475885025758,270
25000,100.00000000003028,-1986922.6281414926,165914.2843804154,-1821008.3437610772,150.65306001737287,1427.029397610669,0.9212475885025758,270
26000,104.00000000003517,-1980228.1281414926,172439.6284240178,-1807788.499717475,156.57818606366814,1427.029397610669,0.9212475885025758,270
27000,108.00000000004006,-1973718.6281414926,179083.33726147073,-1794635.2908800219,162.61078940438983,1427.029397610669,0.9212475885025758,270
28000,112.00000000004495,-1965981.6281414926,185779.03432200415,-1780202.5938194885,168.69059895716973,1427.029397610669,0.9212475885025758,270
29000,116.00000000004984,-1958396.6281414926,192296.25492160942,-1766100.373219883,174.60834877482608,1427.029397610669,0.9212475885025758,269
30000,120.00000000005473,-1950008.1281414926,199274.78549861393,-1750733.3426428786,180.94497608679387,1427.029397610669,0.9212475885025758,269
31000,124.00000000005961,-1941995.1281414926,205097.14697292028,-1736897.9811685723,186.23178171602066,1427.029397610669,0.9212475885025758,268
32000,128.0000000000645,-1931344.1281414926,211233.17960382847,-1720110.948537664,191.80340621878645,1427.029397610669,0.9212475885025758,268
33000,132.00000000005517,-1921818.6281414926,218295.18485378992,-1703523.4432877027,198.21582998771316,1427.029397610669,0.9212475885025758,268
34000,136.00000000004584,-1909164.6281414926,224139.90929321997,-1685024.7188482727,203.5229415787776,1427.029397610669,0.9212475885025758,267
35000,140.00000000003652,-1897049.1281414926,230871.75934367947,-1666177.368797813,209.63557867610245,1427.029397610669,0.9212475885025758,267
36000,144.0000000000272,-1880279.1281414926,237782.42884727614,-1642496.6992942165,215.9105869514506,1427.029397610669,0.9212475885025758,267
37000,148.00000000001788,-1865031.1281414926,244375.18455403426,-1620655.9435874582,221.896923962029,1427.029397610669,0.9212475885025758,266
38000,152.00000000000855,-1848035.6281414926,250148.34688403958,-1597887.281257453,227.13905591130793,1427.029397610669,0.9212475885025758,266
39000,155.99999999999923,-1831459.1281414926,257761.05049633374,-1573698.0776451589,234.05152338498135,1427.029397610669,0.9212475885025758,266
40000,159.9999999999899,-1815646.1281414926,264728.0960270004,-1550918.0321144923,240.37772207483442,1427.029397610669,0.9212475885025758,266
41000,163.9999999999806,-1800940.6281414926,271203.4789330029,-1529737.1492084898,246.25748253799455,1427.029397610669,0.9212475885025758,265
42000,167.99999999997127,-1787563.1281414926,276397.1570456666,-1511165.971095826,250.97343272480316,1427.029397610669,0.9212475885025758,265
43000,171.99999999996194,-1771938.1281414926,284504.77539481106,-1487433.3527466815,258.335291399678,1427.029397610669,0.9212475885025758,265
44000,175.99999999995262,-1759616.1281414926,290293.1146605161,-1469323.0134809765,263.5912042709154,1427.029397610669,0.9212475885025758,264
45000,179.9999999999433,-1748170.6281414926,298851.58092436026,-1449319.0472171323,271.3624407049483,1427.029397610669,0.9212475885025758,264
46000,183.99999999993398,-1731740.1281414926,303704.6214466542,-1428035.5066948384,275.76908602667083,1427.029397610669,0.9212475885025758,264
47000,187.99999999992465,-1718317.1281414926,310916.8655802268,-1407400.2625612658,282.31792931869126,1427.029397610669,0.9212475885025758,263
48000,191.99999999991533,-1704761.1281414926,317646.7015676777,-1387114.4265738148,288.4287376117245,1427.029397610669,0.9212475885025758,263
49000,195.999999999906,-1690863.1281414926,324736.96601582726,-1366126.1621256652,294.8668212248086,1427.029397610669,0.9212475885025758,263
50000,199.9999999998967,-1678044.1281414926,330371.8726634326,-1347672.2554780599,299.98341460641007,1427.029397610669,0.9212475885025758,262
51000,203.99999999988736,-1676529.6281414926,330425.8035377724,-1346103.82460372,300.0323847796476,1427.029397610669,0.9212475885025758,262
52000,207.99999999987804,-1674031.2657776102,331436.6850471369,-1342594.5807304734,300.9502827971056,1427.029397610669,0.9212475885025758,238
53000,211.99999999986872,-1673605.213073196,331184.90634026285,-1342420.306732933,300.7216633459267,1427.029397610669,0.9212475885025758,235
54000,215.9999999998594,-1674203.5698876586,332413.696611008,-1341789.8732766504,301.8374263141283,1427.029397610669,0.9212475885025758,233
