#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
1000,4.000000000000003,-2100037.1281414926,8031.135036118486,-2092005.993105374,7.292410494504734,1427.029397610669,0.9212475885025758,0
2000,7.999999999999562,-2098541.1281414926,13507.967553713546,-2085033.160587779,12.265469812812249,1427.029397610669,0.9212475885025758,167
3000,11.999999999999122,-2094360.1281414926,20001.567158633054,-2074358.5609828595,18.161771355877,1427.029397610669,0.9212475885025758,210
4000,15.999999999998682,-2090231.6281414926,26674.462412591183,-2063557.1657289015,24.22087647113772,1427.029397610669,0.9212475885025758,230
5000,20.000000000000018,-2086447.1281414926,33266.25143057179,-2053180.8767109208,30.206335711468896,1427.029397610669,0.9212475885025758,241
6000,24.000000000001354,-2082541.1281414926,40013.804328203245,-2042527.3238132894,36.333231267529065,1427.029397610669,0.9212475885025758,247
7000,28.00000000000269,-2078480.6281414926,46542.07895117065,-2031938.549190322,42.2610183309309,1427.029397610669,0.9212475885025758,252
8000,32.00000000000402,-2074664.1281414926,53022.827924385296,-2021641.3002171074,48.1456512765827,1427.029397610669,0.9212475885025758,254
9000,36.000000000001805,-2070338.1281414926,59763.62284980433,-2010574.5052916883,54.26641047616749,1427.029397610669,0.9212475885025758,256
10000,39.99999999999959,-2066438.1281414926,66123.73542323738,-2000314.3927182553,60.041503469641896,1427.029397610669,0.9212475885025758,257
11000,43.99999999999737,-2061782.1281414926,72935.93170339553,-1988846.1964380972,66.22709634295772,1427.029397610669,0.9212475885025758,257
12000,47.999999999995154,-2057293.6281414926,79427.88273879989,-1977865.7454026928,72.12190095618887,1427.029397610669,0.9212475885025758,258
13000,51.99999999999294,-2052880.1281414926,85990.90898285981,-1966889.2191586327,78.08124309682654,1427.029397610669,0.9212475885025758,258
14000,55.99999999999072,-2047640.6281414926,92564.30299433178,-1955076.3251471608,84.0499993508542,1427.029397610669,0.9212475885025758,258
15000,59.9999999999885,-2043125.1281414926,99324.09750474733,-1943801.0306367453,90.18801050453972,1427.029397610669,0.9212475885025758,258
16000,63.99999999998629,-2038439.1281414926,106221.28067393642,-1932217.8474675561,96.45077295334856,1427.029397610669,0.9212475885025758,258
17000,67.99999999999118,-2032801.1281414926,112467.65479581138,-1920333.4733456813,102.12258945177703,1427.029397610669,0.9212475885025758,258
18000,71.99999999999606,-2027871.1281414926,119662.70702801243,-1908208.42111348,108.65582219791344,1427.029397610669,0.9212475885025758,258
19000,76.00000000000095,-2022552.1281414926,125393.36806862938,-1897158.7600728632,113.85936223616463,1427.029397610669,0.9212475885025758,258
20000,80.00000000000584,-2016862.1281414926,131965.38793082917,-1884896.7402106635,119.82687073871898,1427.029397610669,0.9212475885025758,258
21000,84.00000000001073,-2012162.1281414926,139270.15368305944,-1872891.9744584332,126.45972527196916,1427.029397610669,0.9212475885025758,258
22000,88.00000000001562,-2005237.1281414926,145762.23568893742,-1859474.8924525552,132.35464880867153,1427.029397610669,0.9212475885025758,258
23000,92.0000000000205,-2000100.6281414926,152695.54582424293,-1847405.0823172496,138.65021517195288,1427.029397610669,0.9212475885025758,258
24000,96.0000000000254,-1994247.1281414926,159287.61273897183,-1834959.5154025208,144.63592674737174,1427.029397610669,0.9212475885025758,257
25000,100.00000000003028,-1987451.1281414926,165240.02265315075,-1822211.1054883418,150.04081862511205,1427.029397610669,0.9212475885025758,257
26000,104.00000000003517,-1980084.1281414926,171951.97922884984,-1808132.1489126428,156.1353921008613,1427.029397610669,0.9212475885025758,257
27000,108.00000000004006,-1973223.1281414926,178430.1337670044,-1794792.9943744882,162.01766925429015,1427.029397610669,0.9212475885025758,257
28000,112.00000000004495,-1966175.1281414926,185826.3966354633,-1780348.7315060294,168.73360476272026,1427.029397610669,0.9212475885025758,256
29000,116.00000000004984,-1957857.6281414926,191598.8021633558,-1766258.8259781369,173.97504952249923,1427.029397610669,0.9212475885025758,256
30000,120.00000000005473,-1950093.6281414926,198760.14415412393,-1751333.4839873686,180.47767278226885,1427.029397610669,0.9212475885025758,255
31000,124.00000000005961,-1941941.6281414926,204375.1294064546,-1737566.498735038,185.5761771899815,1427.029397610669,0.9212475885025758,255
32000,128.0000000000645,-1931527.1281414926,212021.039670732,-1719506.0884707607,192.51879688203013,1427.029397610669,0.9212475885025758,254
33000,132.00000000005517,-1921964.1281414926,217417.26336173667,-1704546.864779756,197.41866198179522,1427.029397610669,0.9212475885025758,254
34000,136.00000000004584,-1907881.6281414926,225236.81469727578,-1682644.8134442167,204.5189507909302,1427.029397610669,0.9212475885025758,254
35000,140.00000000003652,-1896729.1281414926,231337.99613961135,-1665391.1320018813,210.058929807454,1427.029397610669,0.9212475885025758,253
36000,144.0000000000272,-1878992.6281414926,237263.30459460305,-1641729.3235468895,215.4392130882146,1427.029397610669,0.9212475885025758,253
37000,148.00000000001788,-1864142.1281414926,244405.09060266992,-1619737.0375388227,221.9240791750766,1427.029397610669,0.9212475885025758,252
38000,152.00000000000855,-1848569.6281414926,250129.98519932322,-1598439.6429421694,227.12238318177216,1427.029397610669,0.9212475885025758,252
39000,155.99999999999923,-1833160.1281414926,258040.70875220274,-1575119.4193892898,234.3054579522377,1427.029397610669,0.9212475885025758,252
40000,159.9999999999899,-1814795.1281414926,263640.4469334752,-1551154.6812080173,239.39011775386473,1427.029397610669,0.9212475885025758,251
41000,163.9999999999806,-1800055.1281414926,271084.8028732812,-1528970.3252682113,246.14972260873557,1427.029397610669,0.9212475885025758,251
42000,167.99999999997127,-1785604.1281414926,278766.9859418615,-1506837.142199631,253.12527863887018,1427.029397610669,0.9212475885025758,251
43000,171.99999999996194,-1771464.1281414926,283835.4688765484,-1487628.6592649443,257.72754942349803,1427.029397610669,0.9212475885025758,250
44000,175.99999999995262,-1756917.6281414926,290110.7687175543,-1466806.8594239382,263.42563097870897,1427.029397610669,0.9212475885025758,250
45000,179.9999999999433,-1744943.1281414926,297139.36163887003,-1447803.7665026225,269.80771577126853,1427.029397610669,0.9212475885025758,250
46000,183.99999999993398,-1729267.1281414926,304466.8118689811,-1424800.3162725116,276.46116820553976,1427.029397610669,0.9212475885025758,249
47000,187.99999999992465,-1717089.1281414926,311906.15430488286,-1405182.9738366096,283.21622071154326,1427.029397610669,0.9212475885025758,249
48000,191.99999999991533,-1702940.6281414926,318538.06694237597,-1384402.5611991165,289.238112897242,1427.029397610669,0.9212475885025758,249
49000,195.999999999906,-1690750.1281414926,323762.2903654701,-1366987.8377760225,293.98179875794216,1427.029397610669,0.9212475885025758,248
50000,199.9999999998967,-1676564.1281414926,330299.5122478286,-1346264.615893664,299.9177100887093,1427.029397610669,0.9212475885025758,248
51000,203.99999999988736,-1675781.1281414926,333333.6623822014,-1342447.4657592913,302.6727712578087,1427.029397610669,0.9212475885025758,248
52000,207.99999999987804,-1673969.8750224188,331635.9074467388,-1342333.96757568,301.13118020588576,1427.029397610669,0.9212475885025758,228
53000,211.99999999986872,-1671433.9509852137,331919.62066754996,-1339514.3303176637,301.38879675193664,1427.029397610669,0.9212475885025758,226
54000,215.9999999998594,-1672534.7962240204,331731.44599771977,-1340803.3502263008,301.21793087421224,1427.029397610669,0.9212475885025758,224
55000,219.99999999985008,-1669981.7485165726,330822.9403637278,-1339158.808152845,300.39299193471686,1427.029397610669,0.9212475885025758,222
56000,223.99999999984075,-1670749.5758911725,331646.84913721285,-1339102.7267539597,301.1411154514123,1427.029397610669,0.9212475885025758,221
57000,227.99999999983143,-1671474.1450941171,332548.92161072855,-1338925.2234833885,301.9602129691461,1427.029397610669,0.9212475885025758,219
58000,231.9999999998221,-1670869.038030874,332116.8420887712,-1338752.1959421027,301.5678772374953,1427.029397610669,0.9212475885025758,218
59000,235.9999999998128,-1670594.5816348754,333115.5636114791,-1337479.0180233964,302.4747337752734,1427.029397610669,0.9212475885025758,216
60000,239.99999999980346,-1670108.5511909593,331905.90692974906,-1338202.6442612102,301.3763444391554,1427.029397610669,0.9212475885025758,215
61000,243.99999999979414,-1672473.4865965843,330989.22164043406,-1341484.2649561502,300.54397823015813,1427.029397610669,0.9212475885025758,213
62000,247.99999999978482,-1670940.7971577197,331016.6026960644,-1339924.1944616553,300.56884070557805,1427.029397610669,0.9212475885025758,212
63000,251.9999999997755,-1670770.4357514177,331238.2488698927,-1339532.186881525,300.77009929192025,1427.029397610669,0.9212475885025758,211
64000,255.99999999976617,-1670864.489341382,332084.5387447822,-1338779.9505965998,301.53854523851214,1427.029397610669,0.9212475885025758,210
65000,259.99999999978525,-1671155.6373328604,331855.1626505297,-1339300.4746823306,301.3302677497894,1427.029397610669,0.9212475885025758,209
66000,263.99999999980434,-1671870.5085041802,330997.58633394877,-1340872.9221702316,300.55157351756094,1427.029397610669,0.9212475885025758,208
67000,267.99999999982344,-1670888.1846575625,332021.92346002895,-1338866.2611975335,301.48168946935897,1427.029397610669,0.9212475885025758,207
68000,271.99999999984254,-1671454.3746406715,331426.76801626553,-1340027.606624406,300.94127796034525,1427.029397610669,0.9212475885025758,206
69000,275.99999999986164,-1669790.5497491267,331195.6081235615,-1338594.9416255653,300.7313807515594,1427.029397610669,0.9212475885025758,205
70000,279.99999999988074,-1672001.2998479418,331621.57384239417,-1340379.7260055477,301.11816504348633,1427.029397610669,0.9212475885025758,204
71000,283.99999999989984,-1670975.174922308,330680.8518266084,-1340294.3230956995,300.26397306819575,1427.029397610669,0.9212475885025758,203
72000,287.99999999991894,-1673005.9279584326,330439.34655414085,-1342566.5814042918,300.0446820743947,1427.029397610669,0.9212475885025758,202
73000,291.99999999993804,-1670430.7497041859,333152.17274167895,-1337278.5769625069,302.50797550313166,1427.029397610669,0.9212475885025758,201
74000,295.99999999995714,-1669676.330156494,331664.15302207886,-1338012.1771344151,301.1568276802598,1427.029397610669,0.9212475885025758,200
75000,299.99999999997624,-1671779.4126600847,331340.8436808268,-1340438.568979258,300.863257167186,1427.029397610669,0.9212475885025758,200
76000,303.99999999999534,-1672066.2168813106,331468.7747570042,-1340597.4421243062,300.9794208125853,1427.029397610669,0.9212475885025758,199
77000,308.00000000001444,-1673885.0329628903,329982.02613542706,-1343903.0068274634,299.62942716885755,1427.029397610669,0.9212475885025758,198
78000,312.00000000003354,-1672202.949817542,331325.23512350564,-1340877.7146940364,300.8490843252775,1427.029397610669,0.9212475885025758,198
79000,316.00000000005264,-1672292.7793874182,331569.193753554,-1340723.5856338642,301.0706030104931,1427.029397610669,0.9212475885025758,197
80000,320.00000000007174,-1672232.4138506614,331816.49611907115,-1340415.91773159,301.29515786575354,1427.029397610669,0.9212475885025758,196
81000,324.00000000009084,-1671856.8343515862,330576.6156908935,-1341280.2186606927,300.16932484144127,1427.029397610669,0.9212475885025758,196
82000,328.00000000010994,-1673515.5881066043,332213.58701000304,-1341302.0010966011,301.6557233110214,1427.029397610669,0.9212475885025758,195
83000,332.00000000012903,-1671236.1391564142,332335.1979566112,-1338900.941199803,301.7661481686914,1427.029397610669,0.9212475885025758,194
84000,336.00000000014813,-1675039.2542040776,331850.94829174364,-1343188.305912334,301.3264410386084,1427.029397610669,0.9212475885025758,194
85000,340.00000000016723,-1671985.6875725668,331130.69965520425,-1340854.9879173625,300.67244273175254,1427.029397610669,0.9212475885025758,193
86000,344.00000000018633,-1672872.4997748174,329979.3892313343,-1342893.110543483,299.6270328140132,1427.029397610669,0.9212475885025758,193
87000,348.00000000020543,-1675789.7401062064,332309.2499273645,-1343480.4901788419,301.7425869061875,1427.029397610669,0.9212475885025758,192
88000,352.00000000022453,-1673062.677012425,331569.46020679874,-1341493.2168056262,301.07084495468024,1427.029397610669,0.9212475885025758,191
89000,356.00000000024363,-1672775.8008882124,330956.17505398043,-1341819.625834232,300.51397135407177,1427.029397610669,0.9212475885025758,191
90000,360.00000000026273,-1674895.1763828527,331494.5220342376,-1343400.654348615,301.0027997887646,1427.029397610669,0.9212475885025758,191
91000,364.00000000028183,-1673077.990090154,331880.8846213986,-1341197.1054687556,301.35362374734893,1427.029397610669,0.9212475885025758,190
92000,368.00000000030093,-1672390.4124548957,330321.3813136789,-1342069.0311412169,299.93756758140427,1427.029397610669,0.9212475885025758,190
93000,372.00000000032003,-1673486.7909775693,332018.83309369243,-1341467.9578838767,301.47888336289924,1427.029397610669,0.9212475885025758,189
94000,376.0000000003391,-1672755.2904743962,332726.4044887164,-1340028.88598568,302.1213705136542,1427.029397610669,0.9212475885025758,189
95000,380.0000000003582,-1675159.0548036378,330956.2772312036,-1344202.7775724342,300.5140641327701,1427.029397610669,0.9212475885025758,188
