#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
1000,4.000000000000003,-786002.5152004873,3034.1999364239527,-782968.3152640634,7.2763418344704895,549.8808354906947,0.9043370077255188,0
2000,7.999999999999562,-785567.2652004873,5135.7529756154945,-780431.5122248719,12.316094855641008,549.8808354906947,0.9043370077255188,713
3000,11.999999999999122,-783945.0152004873,7612.186693490519,-776332.8285069969,18.25485256417376,549.8808354906947,0.9043370077255188,599
4000,15.999999999998682,-782329.7652004873,10104.42599138245,-772225.3392091049,24.231513774619646,549.8808354906947,0.9043370077255188,634
5000,20.000000000000018,-780885.7652004873,12568.574292772617,-768317.1909077148,30.14080971669148,549.8808354906947,0.9043370077255188,652
6000,24.000000000001354,-779394.7652004873,15069.844640536292,-764324.9205599511,36.13912836809968,549.8808354906947,0.9043370077255188,664
7000,28.00000000000269,-778114.2652004873,17582.66339260328,-760531.601807884,42.165141350505934,549.8808354906947,0.9043370077255188,672
8000,32.00000000000402,-776727.0152004873,20168.306923359705,-756558.7082771276,48.36579608192906,549.8808354906947,0.9043370077255188,677
9000,36.000000000001805,-775342.0152004873,22480.380265457585,-752861.6349350298,53.91039971253179,549.8808354906947,0.9043370077255188,679
10000,39.99999999999959,-773661.7652004873,25135.388378951582,-748526.3768215358,60.277398266306605,549.8808354906947,0.9043370077255188,682
11000,43.99999999999737,-772230.7652004873,27712.241662123706,-744518.5235383636,66.4569730268731,549.8808354906947,0.9043370077255188,684
12000,47.999999999995154,-770729.0152004873,30366.17129441344,-740362.843906074,72.8213852652868,549.8808354906947,0.9043370077255188,686
13000,51.99999999999294,-769385.7652004873,32612.366418340665,-736773.3987821466,78.2080057553914,549.8808354906947,0.9043370077255188,686
14000,55.99999999999072,-767169.0152004873,35267.42745795107,-731901.5877425363,84.57513123175634,549.8808354906947,0.9043370077255188,687
15000,59.9999999999885,-765369.7652004873,37820.46242463941,-727549.302775848,90.69758707587404,549.8808354906947,0.9043370077255188,688
