#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
1000,4.000000000000003,-2099764.1281414926,8065.544277281144,-2091698.5838642116,7.323654684800878,1427.029397610669,0.9212475885025758,0
2000,7.999999999999562,-2098815.6281414926,13540.792752664165,-2085274.8353888285,12.295275665189921,1427.029397610669,0.9212475885025758,290
3000,11.999999999999122,-2094897.1281414926,19979.88749470559,-2074917.240646787,18.142085843426898,1427.029397610669,0.9212475885025758,212
4000,15.999999999998682,-2090881.1281414926,26711.08969577159,-2064170.038445721,24.254134682218563,1427.029397610669,0.9212475885025758,232
5000,20.000000000000018,-2086651.1281414926,33259.70509541261,-2053391.42304608,30.20039152512404,1427.029397610669,0.9212475885025758,242
6000,24.000000000001354,-2082534.6281414926,39891.35844339366,-2042643.269698099,36.222048271429685,1427.029397610669,0.9212475885025758,248
7000,28.00000000000269,-2078393.6281414926,46533.584802605386,-2031860.0433388872,42.25330549608743,1427.029397610669,0.9212475885025758,252
8000,32.00000000000402,-2074404.1281414926,52851.22563224181,-2021552.9025092507,47.989833406445996,1427.029397610669,0.9212475885025758,254
9000,36.000000000001805,-2070563.1281414926,59752.04554291379,-2010811.0825985789,54.25589807986399,1427.029397610669,0.9212475885025758,255
10000,39.99999999999959,-2066662.1281414926,66596.85484557821,-2000065.2732959143,60.471104145650436,1427.029397610669,0.9212475885025758,256
11000,43.99999999999737,-2061348.1281414926,72730.04453026442,-1988618.0836112283,66.04014720372983,1427.029397610669,0.9212475885025758,257
12000,47.999999999995154,-2057645.1281414926,79500.38758278324,-1978144.7405587095,72.18773661737359,1427.029397610669,0.9212475885025758,258
13000,51.99999999999294,-2053856.1281414926,86493.68002260975,-1967362.448118883,78.53776795789743,1427.029397610669,0.9212475885025758,258
14000,55.99999999999072,-2048582.6281414926,92804.20144140828,-1955778.4267000842,84.26783131921337,1427.029397610669,0.9212475885025758,258
15000,59.9999999999885,-2044065.6281414926,99675.04075672806,-1944390.5873847646,90.50667308986674,1427.029397610669,0.9212475885025758,258
16000,63.99999999998629,-2038894.1281414926,105798.10480704438,-1933096.0233344482,96.06652189557578,1427.029397610669,0.9212475885025758,258
