#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
1000,4.000000000000003,-2100025.1281414926,8013.263589145379,-2092011.8645523472,7.276182909378528,1427.029397610669,0.9212475885025758,0
2000,7.999999999999562,-2099320.6281414926,13512.209758728764,-2085808.4183827639,12.269321808854365,1427.029397610669,0.9212475885025758,457
3000,11.999999999999122,-2095469.1281414926,20033.34994725598,-2075435.7781942366,18.19063068152102,1427.029397610669,0.9212475885025758,322
4000,15.999999999998682,-2091664.1281414926,26842.658776755357,-2064821.4693647372,24.373601699346704,1427.029397610669,0.9212475885025758,356
5000,20.000000000000018,-2088005.1281414926,33220.57381634067,-2054784.554325152,30.164859642160522,1427.029397610669,0.9212475885025758,376
6000,24.000000000001354,-2083818.1281414926,39834.16508744605,-2043983.9630540465,36.17011570806814,1427.029397610669,0.9212475885025758,388
7000,28.00000000000269,-2079609.6281414926,46498.14979585096,-2033111.4783456416,42.221129892767756,1427.029397610669,0.9212475885025758,396
8000,32.00000000000402,-2075170.6281414926,52837.093866509094,-2022333.5342749835,47.97700151702169,1427.029397610669,0.9212475885025758,402
9000,36.000000000001805,-2070813.1281414926,59822.69186889658,-2010990.436272596,54.32004617433359,1427.029397610669,0.9212475885025758,407
10000,39.99999999999959,-2067038.1281414926,66488.88318181675,-2000549.244959676,60.37306399436644,1427.029397610669,0.9212475885025758,410
11000,43.99999999999737,-2062537.1281414926,73096.91108069848,-1989440.2170607941,66.37326842139537,1427.029397610669,0.9212475885025758,412
12000,47.999999999995154,-2058410.1281414926,79671.43658742169,-1978738.691554071,72.34305209281887,1427.029397610669,0.9212475885025758,414
13000,51.99999999999294,-2053937.1281414926,86530.05960020189,-1967407.0685412907,78.57080124798972,1427.029397610669,0.9212475885025758,415
14000,55.99999999999072,-2048582.1281414926,92427.85767776401,-1956154.2704637286,83.9261046268843,1427.029397610669,0.9212475885025758,416
15000,59.9999999999885,-2043493.6281414926,99631.64050691138,-1943861.9876345813,90.46726490711251,1427.029397610669,0.9212475885025758,416
16000,63.99999999998629,-2038634.1281414926,106581.99424071296,-1932052.1339007798,96.77830715468392,1427.029397610669,0.9212475885025758,416
17000,67.99999999999118,-2034026.1281414926,112829.2038915103,-1921196.9242499822,102.45088232792668,1427.029397610669,0.9212475885025758,416
18000,71.99999999999606,-2029311.1281414926,119546.87055536844,-1909764.2575861241,108.55064066317937,1427.029397610669,0.9212475885025758,416
19000,76.00000000000095,-2023485.6281414926,125219.31834111144,-1898266.309800381,113.70132205207989,1427.029397610669,0.9212475885025758,417
20000,80.00000000000584,-2017150.6281414926,132589.11415080633,-1884561.5139906863,120.39322501016423,1427.029397610669,0.9212475885025758,417
21000,84.00000000001073,-2013084.1281414926,140027.6741373775,-1873056.4540041152,127.14756703854727,1427.029397610669,0.9212475885025758,417
22000,88.00000000001562,-2006362.1281414926,145514.81189467857,-1860847.316246814,132.12998369399858,1427.029397610669,0.9212475885025758,417
