#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
1000,4.000000000000003,-672244.9381838012,2639.7092504887705,-669605.2289333125,7.262006889174003,484.71232643340835,0.8936303272398393,0
2000,7.999999999999562,-671977.1881838012,4514.488684601605,-667462.6994991996,12.419643535591877,484.71232643340835,0.8936303272398393,514
3000,11.999999999999122,-670896.6881838012,6614.331158325958,-664282.3570254752,18.19644282041573,484.71232643340835,0.8936303272398393,391
4000,15.999999999998682,-669548.6881838012,8804.438408866128,-660744.2497749351,24.221566207965985,484.71232643340835,0.8936303272398393,424
5000,20.000000000000018,-667974.4381838012,10915.176871077783,-657059.2613127235,30.028341045379385,484.71232643340835,0.8936303272398393,442
6000,24.000000000001354,-666448.1881838012,13132.597765288592,-653315.5904185127,36.12860599197365,484.71232643340835,0.8936303272398393,453
7000,28.00000000000269,-664962.6881838012,15160.600726446151,-649802.0874573551,41.70777023987881,484.71232643340835,0.8936303272398393,460
8000,32.00000000000402,-663708.1881838012,17616.151310868736,-646092.0368729325,48.463145006054376,484.71232643340835,0.8936303272398393,465
9000,36.000000000001805,-662504.1881838012,19740.18836799547,-642763.9998158058,54.306505118104276,484.71232643340835,0.8936303272398393,469
10000,39.99999999999959,-661370.1881838012,21965.513642175705,-639404.6745416255,60.42851551328611,484.71232643340835,0.8936303272398393,471
11000,43.99999999999737,-659815.6881838012,24034.269470594132,-635781.4187132071,66.11979347324014,484.71232643340835,0.8936303272398393,473
12000,47.999999999995154,-658534.1881838012,26295.071639807924,-632239.1165439934,72.33940304760903,484.71232643340835,0.8936303272398393,475
13000,51.99999999999294,-657033.1881838012,28655.57416693261,-628377.6140168686,78.8332946043091,484.71232643340835,0.8936303272398393,476
14000,55.99999999999072,-655786.6881838012,30727.007424060226,-625059.680759741,84.53193833976579,484.71232643340835,0.8936303272398393,477
15000,59.9999999999885,-654284.1881838012,32886.790780653595,-621397.3974031477,90.47363877961547,484.71232643340835,0.8936303272398393,477
16000,63.99999999998629,-652437.1881838012,35086.88664785717,-617350.3015359441,96.52624148255228,484.71232643340835,0.8936303272398393,477
17000,67.99999999999118,-650964.1881838012,37182.64914731792,-613781.5390364833,102.29181650045943,484.71232643340835,0.8936303272398393,477
18000,71.99999999999606,-649144.6881838012,39364.0999120702,-609780.588271731,108.29312534880768,484.71232643340835,0.8936303272398393,478
19000,76.00000000000095,-647810.1881838012,41323.59109948746,-606486.5970843137,113.68380937950728,484.71232643340835,0.8936303272398393,478
20000,80.00000000000584,-645885.9381838012,43816.282251638506,-602069.6559321628,120.5413601935419,484.71232643340835,0.8936303272398393,478
21000,84.00000000001073,-643962.9381838012,45735.933379942755,-598227.0048038585,125.8224417050663,484.71232643340835,0.8936303272398393,478
22000,88.00000000001562,-641909.6881838012,48242.68372580652,-593667.0044579947,132.71867024907405,484.71232643340835,0.8936303272398393,478
23000,92.0000000000205,-639861.9381838012,50457.83176108255,-589404.1064227187,138.81268241717027,484.71232643340835,0.8936303272398393,478
24000,96.0000000000254,-637675.6881838012,52548.95551660316,-585126.732667198,144.56549595748507,484.71232643340835,0.8936303272398393,478
25000,100.00000000003028,-635583.1881838012,54734.33727569156,-580848.8509081097,150.577619219559,484.71232643340835,0.8936303272398393,477
26000,104.00000000003517,-633454.4381838012,56733.065883543226,-576721.372300258,156.07624787236247,484.71232643340835,0.8936303272398393,477
27000,108.00000000004006,-631112.6881838012,59178.34027722562,-571934.3479065757,162.80335218870124,484.71232643340835,0.8936303272398393,477
28000,112.00000000004495,-629216.1881838012,60960.77383177998,-568255.4143520213,167.70693948729175,484.71232643340835,0.8936303272398393,477
29000,116.00000000004984,-627048.1881838012,63717.16774939676,-563331.0204344045,175.28995326629186,484.71232643340835,0.8936303272398393,476
30000,120.00000000005473,-624615.6881838012,65749.53802176913,-558866.1501620321,180.88113226321653,484.71232643340835,0.8936303272398393,476
31000,124.00000000005961,-620846.6881838012,67820.19393720981,-553026.4942465915,186.57763748259055,484.71232643340835,0.8936303272398393,475
32000,128.0000000000645,-618013.4381838012,69686.72555510758,-548326.7126286937,191.71258386561544,484.71232643340835,0.8936303272398393,475
33000,132.00000000005517,-615160.6881838012,71846.36886248624,-543314.319321315,197.65389902122905,484.71232643340835,0.8936303272398393,474
34000,136.00000000004584,-611405.6881838012,73781.59779539536,-537624.0903884058,202.9778360572161,484.71232643340835,0.8936303272398393,474
35000,140.00000000003652,-607489.6881838012,76329.80724644661,-531159.8809373546,209.98812121841942,484.71232643340835,0.8936303272398393,473
36000,144.0000000000272,-602952.6881838012,77971.67294565568,-524981.0152381456,214.50499746778175,484.71232643340835,0.8936303272398393,472
37000,148.00000000001788,-597531.1881838012,80866.16444231592,-516665.0237414853,222.4679264098651,484.71232643340835,0.8936303272398393,472
38000,152.00000000000855,-592574.4381838012,82667.11500873366,-509907.3231750676,227.42245517774583,484.71232643340835,0.8936303272398393,471
39000,155.99999999999923,-587001.9381838012,84862.17210766271,-502139.76607613853,233.4611959108783,484.71232643340835,0.8936303272398393,471
40000,159.9999999999899,-582753.6881838012,87971.90876998025,-494781.779413821,242.01627789995925,484.71232643340835,0.8936303272398393,470
41000,163.9999999999806,-577431.4381838012,89618.2785969071,-487813.15958689415,246.545545289183,484.71232643340835,0.8936303272398393,470
42000,167.99999999997127,-573137.1881838012,92283.71648030315,-480853.4717034981,253.8783332726715,484.71232643340835,0.8936303272398393,469
43000,171.99999999996194,-570144.1881838012,94119.97181303498,-476024.2163707663,258.92998768275925,484.71232643340835,0.8936303272398393,468
44000,175.99999999995262,-566665.9381838012,96276.84822178597,-470389.0899620153,264.86369092547295,484.71232643340835,0.8936303272398393,467
45000,179.9999999999433,-561849.9381838012,98549.3078182638,-463300.6303655375,271.1153708186036,484.71232643340835,0.8936303272398393,466
46000,183.99999999993398,-556622.4381838012,101381.27353865001,-455241.16464515124,278.9062874006254,484.71232643340835,0.8936303272398393,466
47000,187.99999999992465,-552661.9381838012,103362.2382116681,-449299.69997213315,284.3560463466169,484.71232643340835,0.8936303272398393,465
48000,191.99999999991533,-547778.6881838012,104866.44476455101,-442912.24341925024,288.4942135889955,484.71232643340835,0.8936303272398393,464
49000,195.999999999906,-542874.1881838012,107422.62129866704,-435451.5668851342,295.5264166989624,484.71232643340835,0.8936303272398393,464
50000,199.9999999998967,-539906.4381838012,109254.10820976493,-430652.3299740363,300.5649528799309,484.71232643340835,0.8936303272398393,463
51000,203.99999999988736,-537805.4381838012,110105.2109242687,-427700.22725953255,302.90639020867326,484.71232643340835,0.8936303272398393,463
52000,207.99999999987804,-538802.916204114,109999.63429729018,-428803.2819068238,302.61594223895395,484.71232643340835,0.8936303272398393,442
53000,211.99999999986872,-538387.4510001545,110540.35967637098,-427847.0913237835,304.10351191251135,484.71232643340835,0.8936303272398393,440
54000,215.9999999998594,-538048.4305838011,108664.05372275005,-429384.3768610511,298.94167571450186,484.71232643340835,0.8936303272398393,437
55000,219.99999999985008,-538879.2606159914,108677.73839352466,-430201.52222246677,298.979323108215,484.71232643340835,0.8936303272398393,435
56000,223.99999999984075,-539254.9067508718,110212.94320353947,-429041.9635473323,303.2027685140135,484.71232643340835,0.8936303272398393,433
57000,227.99999999983143,-539396.5446076207,110144.12280337967,-429252.421804241,303.0134392460331,484.71232643340835,0.8936303272398393,431
58000,231.9999999998221,-537044.9022438298,109660.6724757282,-427384.2297681016,301.6834368568198,484.71232643340835,0.8936303272398393,429
59000,235.9999999998128,-537173.6659613322,110066.93240716378,-427106.7335541684,302.80108359019937,484.71232643340835,0.8936303272398393,427
60000,239.99999999980346,-540108.874410274,109614.0580885564,-430494.8163217176,301.55519773324454,484.71232643340835,0.8936303272398393,425
61000,243.99999999979414,-538496.5232031532,108603.1753516678,-429893.34785148536,298.77419547018366,484.71232643340835,0.8936303272398393,423
62000,247.99999999978482,-538809.5693248357,108979.61221793658,-429829.9571068991,299.80979706747195,484.71232643340835,0.8936303272398393,421
63000,251.9999999997755,-539602.0991384583,109511.3875769548,-430090.71156150347,301.27274467049614,484.71232643340835,0.8936303272398393,420
64000,255.99999999976617,-539310.1425747983,108918.50216164603,-430391.6404131523,299.64167944251096,484.71232643340835,0.8936303272398393,418
65000,259.99999999978525,-539867.5680397963,109453.9750286591,-430413.5930111372,301.1147991235875,484.71232643340835,0.8936303272398393,417
66000,263.99999999980434,-538442.993917618,108562.91763050901,-429880.07628710894,298.6634439363382,484.71232643340835,0.8936303272398393,415
67000,267.99999999982344,-539527.597826364,109670.46246849606,-429857.1353578679,301.71036974532336,484.71232643340835,0.8936303272398393,414
68000,271.99999999984254,-539106.636270212,110184.96521819601,-428921.67105201597,303.1257993090635,484.71232643340835,0.8936303272398393,412
69000,275.99999999986164,-538153.9305838011,109747.03552357556,-428406.89506022556,301.9210270566956,484.71232643340835,0.8936303272398393,411
70000,279.99999999988074,-538204.9765141713,108838.3522466115,-429366.62426755985,299.42118196346485,484.71232643340835,0.8936303272398393,410
71000,283.99999999989984,-539326.7379242177,109562.10375932045,-429764.63416489726,301.4122680917456,484.71232643340835,0.8936303272398393,409
72000,287.99999999991894,-539594.0261329133,109898.9024661521,-429695.1236667612,302.33882260862026,484.71232643340835,0.8936303272398393,407
73000,291.99999999993804,-538817.3971903701,109176.58857028116,-429640.80862008897,300.35169145507007,484.71232643340835,0.8936303272398393,406
74000,295.99999999995714,-538776.0612544445,109920.70558469824,-428855.3556697463,302.39880436496645,484.71232643340835,0.8936303272398393,405
75000,299.99999999997624,-538482.9463952784,109789.76080136455,-428693.1855939139,302.0385669946975,484.71232643340835,0.8936303272398393,404
76000,303.99999999999534,-539251.7138567558,110032.05832501361,-429219.65553174214,302.7051427873321,484.71232643340835,0.8936303272398393,403
77000,308.00000000001444,-539230.1594593651,109233.4012606478,-429996.75819871726,300.50798675492507,484.71232643340835,0.8936303272398393,402
78000,312.00000000003354,-538049.6213277462,108610.96086973319,-429438.660458013,298.7956139221651,484.71232643340835,0.8936303272398393,401
79000,316.00000000005264,-539498.9587161546,109004.71873857599,-430494.2399775786,299.87886669164095,484.71232643340835,0.8936303272398393,400
80000,320.00000000007174,-538719.9140819488,109105.96386404807,-429613.95021790074,300.1573984271104,484.71232643340835,0.8936303272398393,399
81000,324.00000000009084,-539127.3782668347,109026.06033757864,-430101.317929256,299.9375787785704,484.71232643340835,0.8936303272398393,398
82000,328.00000000010994,-539316.462605367,109356.21751128789,-429960.24509407906,300.84586201830325,484.71232643340835,0.8936303272398393,397
83000,332.00000000012903,-540097.850563914,109479.09152227116,-430618.7590416429,301.18389618403415,484.71232643340835,0.8936303272398393,396
84000,336.00000000014813,-538314.2125435118,108626.083171217,-429688.12937229476,298.8372163287693,484.71232643340835,0.8936303272398393,395
85000,340.00000000016723,-540011.7818138702,109394.50544242328,-430617.2763714469,300.95119453536967,484.71232643340835,0.8936303272398393,394
86000,344.00000000018633,-540437.2895719279,108989.29362563675,-431447.99594629114,299.8364312315954,484.71232643340835,0.8936303272398393,394
87000,348.00000000020543,-540888.9521700246,109363.47290195519,-431525.47926806944,300.86582205632635,484.71232643340835,0.8936303272398393,393
88000,352.00000000022453,-539547.6244500387,110225.02839658713,-429322.59605345153,303.23601564346643,484.71232643340835,0.8936303272398393,392
89000,356.00000000024363,-537894.2875314266,109926.0186334661,-427968.26889796054,302.41342089773326,484.71232643340835,0.8936303272398393,392
90000,360.00000000026273,-539022.6691060998,109172.67543431395,-429849.9936717858,300.34092617084536,484.71232643340835,0.8936303272398393,391
91000,364.00000000028183,-539659.8217749847,108698.99797115027,-430960.82380383444,299.0378095491552,484.71232643340835,0.8936303272398393,390
92000,368.00000000030093,-538638.5337271509,109212.67530649056,-429425.8584206603,300.45096834585337,484.71232643340835,0.8936303272398393,390
93000,372.00000000032003,-538821.4799266947,109220.6994494925,-429600.78047720215,300.4730432701084,484.71232643340835,0.8936303272398393,389
94000,376.0000000003391,-538351.5712597929,109611.71712841385,-428739.85413137905,301.5487576040222,484.71232643340835,0.8936303272398393,388
95000,380.0000000003582,-538407.8414871008,110038.93680234044,-428368.9046847604,302.7240659129472,484.71232643340835,0.8936303272398393,388
96000,384.0000000003773,-537849.2708544335,110016.02779704495,-427833.2430573886,302.66104179229865,484.71232643340835,0.8936303272398393,387
97000,388.0000000003964,-538801.5932904305,109703.52670860972,-429098.0665818208,301.8013315584269,484.71232643340835,0.8936303272398393,387
98000,392.0000000004155,-539137.8126668008,109722.27421828486,-429415.53844851593,301.852907141757,484.71232643340835,0.8936303272398393,386
