#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
1000,4.000000000000003,-2099254.1281414926,8027.812289182892,-2091226.3158523098,7.289393382413512,1427.029397610669,0.9212475885025758,0
2000,7.999999999999562,-2098491.1281414926,13608.51525808851,-2084882.6128834041,12.35676887966703,1427.029397610669,0.9212475885025758,286
3000,11.999999999999122,-2094977.1281414926,20014.965861663026,-2074962.1622798296,18.173937611599147,1427.029397610669,0.9212475885025758,227
4000,15.999999999998682,-2090627.1281414926,26760.599420903887,-2063866.5287205887,24.29909037497072,1427.029397610669,0.9212475885025758,243
5000,20.000000000000018,-2086909.1281414926,33430.123674946786,-2053479.0044665458,30.355134563594262,1427.029397610669,0.9212475885025758,252
6000,24.000000000001354,-2083045.1281414926,39646.39000242054,-2043398.738139072,35.99961266030613,1427.029397610669,0.9212475885025758,258
7000,28.00000000000269,-2079400.6281414926,46409.92188137463,-2032990.706260118,42.141017409719986,1427.029397610669,0.9212475885025758,261
8000,32.00000000000402,-2074813.1281414926,52933.99311339708,-2021879.1350280955,48.064987720931555,1427.029397610669,0.9212475885025758,263
9000,36.000000000001805,-2071008.1281414926,59762.66388592867,-2011245.464255564,54.26553972026571,1427.029397610669,0.9212475885025758,269
10000,39.99999999999959,-2066968.1281414926,66480.61150771214,-2000487.5166337804,60.365553170208166,1427.029397610669,0.9212475885025758,266
11000,43.99999999999737,-2062311.1281414926,73133.52574690305,-1989177.6023945895,66.40651517604239,1427.029397610669,0.9212475885025758,267
12000,47.999999999995154,-2058457.1281414926,79665.1907208798,-1978791.937420613,72.3373807372119,1427.029397610669,0.9212475885025758,268
13000,51.99999999999294,-2052974.1281414926,86107.74807094956,-1966866.3800705431,78.18733502384833,1427.029397610669,0.9212475885025758,268
14000,55.99999999999072,-2048722.6281414926,92997.66055811911,-1955724.9675833734,84.44349556674686,1427.029397610669,0.9212475885025758,268
15000,59.9999999999885,-2043681.6281414926,99629.21257256552,-1944052.415568927,90.46506030043808,1427.029397610669,0.9212475885025758,271
16000,63.99999999998629,-2039190.1281414926,106170.60859442917,-1933019.5195470634,96.40476182257872,1427.029397610669,0.9212475885025758,269
17000,67.99999999999118,-2034151.6281414926,112696.11375823502,-1921455.5143832576,102.33003416882502,1427.029397610669,0.9212475885025758,269
18000,71.99999999999606,-2029373.1281414926,118984.59255340413,-1910388.5355880884,108.04008244395966,1427.029397610669,0.9212475885025758,269
19000,76.00000000000095,-2024521.6281414926,125910.16362431501,-1898611.4645171775,114.3286216019761,1427.029397610669,0.9212475885025758,269
20000,80.00000000000584,-2018652.1281414926,132263.81174813732,-1886388.3163933554,120.09784476260987,1427.029397610669,0.9212475885025758,270
21000,84.00000000001073,-2013644.6281414926,139544.1217204439,-1874100.5064210487,126.70849302173256,1427.029397610669,0.9212475885025758,268
22000,88.00000000001562,-2008117.1281414926,146181.37299826316,-1861935.7551432294,132.73523278583286,1427.029397610669,0.9212475885025758,268
23000,92.0000000000205,-2001822.1281414926,151840.44316905906,-1849981.6849724336,137.87376706735776,1427.029397610669,0.9212475885025758,268
24000,96.0000000000254,-1995419.1281414926,159615.13587310462,-1835803.992268388,144.93332345777466,1427.029397610669,0.9212475885025758,269
25000,100.00000000003028,-1989063.1281414926,165772.6136882932,-1823290.5144531995,150.52442056138696,1427.029397610669,0.9212475885025758,268
26000,104.00000000003517,-1982719.1281414926,171812.19421290452,-1810906.9339285882,156.00846487168764,1427.029397610669,0.9212475885025758,268
27000,108.00000000004006,-1976305.1281414926,178362.27959185478,-1797942.848549638,161.95605648140915,1427.029397610669,0.9212475885025758,268
28000,112.00000000004495,-1968413.6281414926,185254.82008941984,-1783158.8080520728,168.21460330351997,1427.029397610669,0.9212475885025758,267
29000,116.00000000004984,-1959673.6281414926,192320.2190102134,-1767353.4091312792,174.63010858467126,1427.029397610669,0.9212475885025758,267
30000,120.00000000005473,-1951786.1281414926,198921.53960256896,-1752864.5885389238,180.62422266055043,1427.029397610669,0.9212475885025758,267
31000,124.00000000005961,-1942743.1281414926,205143.9554978176,-1737599.172643675,186.27428467191152,1427.029397610669,0.9212475885025758,266
32000,128.0000000000645,-1931851.6281414926,211470.39354299975,-1720381.2345984927,192.01880060721047,1427.029397610669,0.9212475885025758,267
33000,132.00000000005517,-1920499.1281414926,217497.97338335082,-1703001.1547581418,197.49194808718178,1427.029397610669,0.9212475885025758,266
34000,136.00000000004584,-1909079.6281414926,223948.86794137215,-1685130.7602001205,203.34947270385095,1427.029397610669,0.9212475885025758,266
35000,140.00000000003652,-1896303.1281414926,230399.89191390044,-1665903.2362275922,209.2071148311465,1427.029397610669,0.9212475885025758,265
36000,144.0000000000272,-1883131.1281414926,238195.06437065342,-1644936.0637708392,216.28526719372636,1427.029397610669,0.9212475885025758,266
37000,148.00000000001788,-1865968.1281414926,244436.1804483161,-1621531.9476931766,221.95230929642844,1427.029397610669,0.9212475885025758,265
38000,152.00000000000855,-1850976.1281414926,251172.5312094439,-1599803.5969320487,228.0690331174309,1427.029397610669,0.9212475885025758,264
39000,155.99999999999923,-1833782.6281414926,258026.22380855057,-1575756.404332942,234.29230537111107,1427.029397610669,0.9212475885025758,264
40000,159.9999999999899,-1819087.1281414926,263790.7090049711,-1555296.4191365214,239.52655833196167,1427.029397610669,0.9212475885025758,264
41000,163.9999999999806,-1800713.1281414926,270707.23135653976,-1530005.8967849528,245.80688109520997,1427.029397610669,0.9212475885025758,264
42000,167.99999999997127,-1785127.1281414926,277389.0318823524,-1507738.0962591402,251.87407235242154,1427.029397610669,0.9212475885025758,264
