#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
1000,4.000000000000003,-2099924.6281414926,8152.756537371413,-2091771.8716041213,7.402844935976026,1427.029397610669,0.9212475885025758,0
2000,7.999999999999562,-2099188.6281414926,13497.25463653434,-2085691.3735049583,12.255742297422076,1427.029397610669,0.9212475885025758,457
3000,11.999999999999122,-2095311.1281414926,19957.617760893834,-2075353.5103805987,18.12186453724436,1427.029397610669,0.9212475885025758,320
4000,15.999999999998682,-2090939.1281414926,26601.23184580824,-2064337.8962956844,24.15438184101075,1427.029397610669,0.9212475885025758,355
5000,20.000000000000018,-2086929.6281414926,33423.488110619044,-2053506.1400308735,30.349109355610217,1427.029397610669,0.9212475885025758,375
6000,24.000000000001354,-2082759.1281414926,39770.282553884645,-2042988.845587608,36.112109254925016,1427.029397610669,0.9212475885025758,387
7000,28.00000000000269,-2078467.1281414926,46320.0689646571,-2032147.0591768355,42.05942939633383,1427.029397610669,0.9212475885025758,396
8000,32.00000000000402,-2074425.1281414926,52971.002861105524,-2021454.125280387,48.0985932164654,1427.029397610669,0.9212475885025758,402
9000,36.000000000001805,-2070566.1281414926,59904.752310021446,-2010661.375831471,54.394558484156725,1427.029397610669,0.9212475885025758,406
10000,39.99999999999959,-2066185.1281414926,66261.89358980153,-1999923.234551691,60.166953491241955,1427.029397610669,0.9212475885025758,410
11000,43.99999999999737,-2061987.1281414926,73008.20636703414,-1988978.9217744584,66.29272299638025,1427.029397610669,0.9212475885025758,412
12000,47.999999999995154,-2058049.1281414926,79651.92634011361,-1978397.201801379,72.32533644844483,1427.029397610669,0.9212475885025758,414
13000,51.99999999999294,-2053540.1281414926,86440.61897576562,-1967099.509165727,78.48958760317605,1427.029397610669,0.9212475885025758,415
14000,55.99999999999072,-2048461.1281414926,93025.76429185204,-1955435.3638496406,84.4690142464711,1427.029397610669,0.9212475885025758,416
15000,59.9999999999885,-2043342.6281414926,99878.1365279404,-1943464.4916135522,90.69108758753332,1427.029397610669,0.9212475885025758,417
16000,63.99999999998629,-2038247.6281414926,106006.72787222409,-1932240.9002692685,96.25595527243598,1427.029397610669,0.9212475885025758,418
17000,67.99999999999118,-2033822.6281414926,111970.85353021123,-1921851.7746112815,101.67148524961226,1427.029397610669,0.9212475885025758,418
18000,71.99999999999606,-2028272.1281414926,119655.80200027786,-1908616.3261412147,108.64955231246262,1427.029397610669,0.9212475885025758,418
19000,76.00000000000095,-2023181.6281414926,125813.61610386075,-1897368.0120376318,114.24095477179424,1427.029397610669,0.9212475885025758,419
20000,80.00000000000584,-2017665.1281414926,132989.96690586756,-1884675.161235625,120.75720629358347,1427.029397610669,0.9212475885025758,419
21000,84.00000000001073,-2010856.1281414926,139478.07806973852,-1871378.050071754,126.6485242365816,1427.029397610669,0.9212475885025758,419
22000,88.00000000001562,-2004976.1281414926,146359.7106474686,-1858616.417494024,132.89716647749438,1427.029397610669,0.9212475885025758,419
23000,92.0000000000205,-1999979.1281414926,152352.2802812475,-1847626.847860245,138.33852408011046,1427.029397610669,0.9212475885025758,420
24000,96.0000000000254,-1993976.1281414926,159310.09625025123,-1834666.0318912414,144.65634216721838,1427.029397610669,0.9212475885025758,420
25000,100.00000000003028,-1987162.1281414926,166192.55140339184,-1820969.5767381007,150.90573132093104,1427.029397610669,0.9212475885025758,420
26000,104.00000000003517,-1981192.1281414926,172189.3408433585,-1809002.787298134,156.35092058106378,1427.029397610669,0.9212475885025758,419
27000,108.00000000004006,-1973209.1281414926,178946.97212938571,-1794262.156012107,162.4869674893269,1427.029397610669,0.9212475885025758,419
28000,112.00000000004495,-1965027.6281414926,185744.26546650488,-1779283.3626749876,168.6590282307924,1427.029397610669,0.9212475885025758,418
29000,116.00000000004984,-1957649.1281414926,192390.9260203371,-1765258.2021211556,174.6943117813978,1427.029397610669,0.9212475885025758,418
30000,120.00000000005473,-1949762.1281414926,198209.3665525723,-1751552.7615889204,179.97755712693126,1427.029397610669,0.9212475885025758,417
31000,124.00000000005961,-1941106.1281414926,203997.43507921335,-1737108.6930622794,185.23322416238304,1427.029397610669,0.9212475885025758,416
32000,128.0000000000645,-1932424.1281414926,210895.80672242105,-1721528.3214190716,191.49706576630092,1427.029397610669,0.9212475885025758,416
33000,132.00000000005517,-1920823.1281414926,217718.32823486035,-1703104.7999066322,197.692034130367,1427.029397610669,0.9212475885025758,415
34000,136.00000000004584,-1909125.1281414926,223927.91759738128,-1685197.2105441112,203.33044942660615,1427.029397610669,0.9212475885025758,414
35000,140.00000000003652,-1895259.1281414926,229795.3591531864,-1665463.7689883062,208.65818855501286,1427.029397610669,0.9212475885025758,414
36000,144.0000000000272,-1880510.1281414926,238050.72884300858,-1642459.399298484,216.1542080206713,1427.029397610669,0.9212475885025758,413
37000,148.00000000001788,-1864732.1281414926,244235.8695794923,-1620496.2585620002,221.7704235386365,1427.029397610669,0.9212475885025758,413
38000,152.00000000000855,-1847100.1281414926,250798.68214931065,-1596301.445992182,227.72957165934116,1427.029397610669,0.9212475885025758,412
39000,155.99999999999923,-1828533.6281414926,257022.7638533314,-1571510.8642881613,233.38114625408144,1427.029397610669,0.9212475885025758,412
40000,159.9999999999899,-1814836.1281414926,263483.8639549581,-1551352.2641865346,239.24793768209858,1427.029397610669,0.9212475885025758,411
41000,163.9999999999806,-1798478.1281414926,270656.8534282467,-1527821.274713246,245.76113705886598,1427.029397610669,0.9212475885025758,411
42000,167.99999999997127,-1782578.6281414926,276965.0758985992,-1505613.5522428933,251.48911293495118,1427.029397610669,0.9212475885025758,410
43000,171.99999999996194,-1769628.1281414926,284145.02924515173,-1485483.098896341,258.008635629935,1427.029397610669,0.9212475885025758,410
44000,175.99999999995262,-1755020.1281414926,291919.96082651627,-1463100.1673149765,265.06840892511815,1427.029397610669,0.9212475885025758,409
45000,179.9999999999433,-1739955.6281414926,298096.77546448825,-1441858.8526770044,270.67706420061546,1427.029397610669,0.9212475885025758,409
46000,183.99999999993398,-1728266.6281414926,304734.1214341456,-1423532.506707347,276.703889946554,1427.029397610669,0.9212475885025758,408
