#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
1000,4.000000000000003,-2389506.005661806,8714.09130998015,-2380791.914351826,6.9964704965231155,1608.7377189458916,0.9246960155319575,0
2000,7.999999999999562,-2388116.005661806,15399.58628370989,-2372716.4193780962,12.364198085604375,1608.7377189458916,0.9246960155319575,233
3000,11.999999999999122,-2384387.005661806,22771.476265842753,-2361615.5293959635,18.283026444051355,1608.7377189458916,0.9246960155319575,175
4000,15.999999999998682,-2380081.505661806,30168.65137515658,-2349912.8542866497,24.222156018084615,1608.7377189458916,0.9246960155319575,190
5000,20.000000000000018,-2375720.505661806,37632.5505652156,-2338087.9550965903,30.2148577943975,1608.7377189458916,0.9246960155319575,198
6000,24.000000000001354,-2371229.505661806,45057.289404799616,-2326172.2162570064,36.17611805524014,1608.7377189458916,0.9246960155319575,204
7000,28.00000000000269,-2366756.505661806,52571.11509773383,-2314185.3905640724,42.2089054000805,1608.7377189458916,0.9246960155319575,207
8000,32.00000000000402,-2362605.005661806,60065.8006850765,-2302539.2049767296,48.226325315396885,1608.7377189458916,0.9246960155319575,209
9000,36.000000000001805,-2357597.505661806,67457.67101129657,-2290139.8346505095,54.161195723776984,1608.7377189458916,0.9246960155319575,211
10000,39.99999999999959,-2352728.005661806,74999.72058877595,-2277728.2850730303,60.2166437877323,1608.7377189458916,0.9246960155319575,212
11000,43.99999999999737,-2348383.505661806,82381.57156423225,-2266001.9340975736,66.14346974379725,1608.7377189458916,0.9246960155319575,212
12000,47.999999999995154,-2343623.005661806,89731.9959915723,-2253891.009670234,72.04506358914848,1608.7377189458916,0.9246960155319575,213
13000,51.99999999999294,-2338636.505661806,97873.03777402725,-2240763.4678877788,78.58143744796655,1608.7377189458916,0.9246960155319575,213
14000,55.99999999999072,-2333744.505661806,104920.77939693141,-2228823.7262648745,84.24000981974025,1608.7377189458916,0.9246960155319575,213
15000,59.9999999999885,-2327844.505661806,112378.04937215932,-2215466.4562896467,90.22738905531641,1608.7377189458916,0.9246960155319575,213
16000,63.99999999998629,-2322676.505661806,119731.63549308173,-2202944.8701687246,96.13152139780763,1608.7377189458916,0.9246960155319575,213
17000,67.99999999999118,-2317386.505661806,127498.32000314185,-2189888.1856586644,102.36732695658165,1608.7377189458916,0.9246960155319575,213
18000,71.99999999999606,-2312054.505661806,135044.13243276265,-2177010.3732290436,108.42579618281928,1608.7377189458916,0.9246960155319575,213
19000,76.00000000000095,-2305682.505661806,143120.2043214155,-2162562.3013403905,114.91000626127531,1608.7377189458916,0.9246960155319575,213
20000,80.00000000000584,-2298733.505661806,150275.03174452274,-2148458.473917283,120.65455691983368,1608.7377189458916,0.9246960155319575,213
21000,84.00000000001073,-2292177.505661806,157851.66418613045,-2134325.841475676,126.73777127403685,1608.7377189458916,0.9246960155319575,213
22000,88.00000000001562,-2286044.505661806,165493.63927264654,-2120550.8663891596,132.87344868732484,1608.7377189458916,0.9246960155319575,213
23000,92.0000000000205,-2280177.505661806,172912.77439871232,-2107264.7312630937,138.83020977379502,1608.7377189458916,0.9246960155319575,212
24000,96.0000000000254,-2272056.505661806,180221.63484332105,-2091834.870818485,144.698432247588,1608.7377189458916,0.9246960155319575,212
25000,100.00000000003028,-2264956.005661806,186964.310867137,-2077991.694794669,150.1120700200329,1608.7377189458916,0.9246960155319575,212
26000,104.00000000003517,-2258682.005661806,194996.72119247273,-2063685.2844693335,156.56122459715047,1608.7377189458916,0.9246960155319575,212
27000,108.00000000004006,-2249610.505661806,202507.2832910665,-2047103.2223707396,162.59139162959065,1608.7377189458916,0.9246960155319575,212
28000,112.00000000004495,-2242211.505661806,209561.36711736763,-2032650.1385444384,168.2550561030387,1608.7377189458916,0.9246960155319575,211
29000,116.00000000004984,-2233192.505661806,216933.7599831949,-2016258.745678611,174.17428822256713,1608.7377189458916,0.9246960155319575,211
30000,120.00000000005473,-2223530.005661806,224496.86803396064,-1999033.1376278454,180.2466439573063,1608.7377189458916,0.9246960155319575,211
31000,124.00000000005961,-2211970.505661806,231808.99683478742,-1980161.5088270186,186.11749056677087,1608.7377189458916,0.9246960155319575,210
32000,128.0000000000645,-2201517.505661806,239987.05315123394,-1961530.452510572,192.68358308308314,1608.7377189458916,0.9246960155319575,210
33000,132.00000000005517,-2190341.505661806,246032.18630267234,-1944309.3193591337,197.53716956009805,1608.7377189458916,0.9246960155319575,210
34000,136.00000000004584,-2175961.505661806,254011.34939277967,-1921950.1562690265,203.94357238065894,1608.7377189458916,0.9246960155319575,209
35000,140.00000000003652,-2160467.505661806,261868.12841190374,-1898599.3772499023,210.25171406171378,1608.7377189458916,0.9246960155319575,209
36000,144.0000000000272,-2145557.505661806,269369.2600477299,-1876188.2456140763,216.27430945504955,1608.7377189458916,0.9246960155319575,209
37000,148.00000000001788,-2127422.505661806,274638.7763382405,-1852783.7293235655,220.50515968900118,1608.7377189458916,0.9246960155319575,208
38000,152.00000000000855,-2107525.505661806,283734.54843349475,-1823790.9572283113,227.8080784723585,1608.7377189458916,0.9246960155319575,208
39000,155.99999999999923,-2090099.505661806,290617.86780386954,-1799481.6378579366,233.3346376028346,1608.7377189458916,0.9246960155319575,208
