#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
1000,4.000000000000003,-2776718.152291484,10215.05250182475,-2766503.0997896595,7.107172152300356,1849.7595322071666,0.9285637094837514,0
2000,7.999999999999562,-2774827.152291484,17678.891522209575,-2757148.2607692746,12.30017422697945,1849.7595322071666,0.9285637094837514,154
3000,11.999999999999122,-2770225.152291484,26134.47877887183,-2744090.6735126125,18.18318993063449,1849.7595322071666,0.9285637094837514,146
4000,15.999999999998682,-2764777.152291484,34703.52985659218,-2730073.622434892,24.145148636214746,1849.7595322071666,0.9285637094837514,149
5000,20.000000000000018,-2759436.152291484,43500.04479674256,-2715936.1074947417,30.265366423520582,1849.7595322071666,0.9285637094837514,147
6000,24.000000000001354,-2753723.152291484,52204.176828111835,-2701518.975463372,36.321308355511896,1849.7595322071666,0.9285637094837514,147
7000,28.00000000000269,-2748029.152291484,60507.949651550254,-2687521.202639934,42.098698433460854,1849.7595322071666,0.9285637094837514,145
8000,32.00000000000402,-2742547.152291484,69097.08792157816,-2673450.064369906,48.07463290017994,1849.7595322071666,0.9285637094837514,146
9000,36.000000000001805,-2736989.152291484,78364.1934968577,-2658624.9587946264,54.52226639646288,1849.7595322071666,0.9285637094837514,146
10000,39.99999999999959,-2731273.152291484,86889.79635235539,-2644383.355939129,60.45399579142602,1849.7595322071666,0.9285637094837514,147
11000,43.99999999999737,-2725677.152291484,95474.00724086142,-2630203.1450506225,66.42650200863491,1849.7595322071666,0.9285637094837514,146
12000,47.999999999995154,-2719590.152291484,103511.4610581566,-2616078.6912333276,72.01859935081463,1849.7595322071666,0.9285637094837514,147
13000,51.99999999999294,-2713867.152291484,112501.43378149725,-2601365.718509987,78.27341632584759,1849.7595322071666,0.9285637094837514,147
14000,55.99999999999072,-2707492.152291484,120984.96285417573,-2586507.1894373083,84.17587268305188,1849.7595322071666,0.9285637094837514,147
15000,59.9999999999885,-2701529.152291484,129307.74072760006,-2572221.411563884,89.96648561638888,1849.7595322071666,0.9285637094837514,147
16000,63.99999999998629,-2695150.152291484,138298.7155993951,-2556851.436692089,96.22199984105285,1849.7595322071666,0.9285637094837514,146
17000,67.99999999999118,-2688200.152291484,147460.58168273314,-2540739.570608751,102.59641245214551,1849.7595322071666,0.9285637094837514,146
18000,71.99999999999606,-2681276.152291484,155910.42641584174,-2525365.7258756426,108.47543276728177,1849.7595322071666,0.9285637094837514,146
19000,76.00000000000095,-2673367.152291484,164634.10370769794,-2508733.048583786,114.54497340872831,1849.7595322071666,0.9285637094837514,146
20000,80.00000000000584,-2667407.152291484,173137.1451590178,-2494270.0071324664,120.46100559768483,1849.7595322071666,0.9285637094837514,145
21000,84.00000000001073,-2659959.152291484,182512.58455445876,-2477446.567737025,126.98401287297342,1849.7595322071666,0.9285637094837514,145
22000,88.00000000001562,-2652174.152291484,189875.86724370823,-2462298.285047776,132.10705239422902,1849.7595322071666,0.9285637094837514,145
